P1, P2, set winner
nomis / simon,jm / ceephax,0
azzu / knubs.,k / severian,0
the brons kneecap / led free,hello / a link named slykbacc,1
chango / xest,pilzlotta / keff,0
shroomed / alan,nomis / simon,0
holo / naythin,phalanx / russy,1
shanahan / brum,azzu / knubs.,1
nugget / nfreak,dr. chekhov / sweetyjesus,0
darkrain / shinobi,hello / a link named slykbacc,1
pendragon / dr. greenthumb,federade / faceoats,0
pgh carroll / s1,chango / xest,0
sute / crustl0rd,danku / johnnycamine,0
shroomed / alan,phalanx / russy,0
azzu / knubs.,nugget / nfreak,0
hello / a link named slykbacc,pendragon / dr. greenthumb,0
pgh carroll / s1,sute / crustl0rd,0
shroomed / alan,azzu / knubs.,0
hello / a link named slykbacc,pgh carroll / s1,1
shroomed / alan,pgh carroll / s1,0
shroomed / alan,azzu / knubs.,0
danku / johnnycamine,jm / ceephax,1
federade / faceoats,k / severian,1
dr. chekhov / sweetyjesus,the brons kneecap / led free,0
holo / naythin,pilzlotta / keff,1
jm / ceephax,chango / xest,1
k / severian,darkrain / shinobi,0
dr. chekhov / sweetyjesus,shanahan / brum,0
pilzlotta / keff,nomis / simon,1
nugget / nfreak,chango / xest,1
phalanx / russy,k / severian,1
sute / crustl0rd,dr. chekhov / sweetyjesus,1
pendragon / dr. greenthumb,nomis / simon,0
chango / xest,k / severian,0
dr. chekhov / sweetyjesus,pendragon / dr. greenthumb,0
hello / a link named slykbacc,chango / xest,0
azzu / knubs.,dr. chekhov / sweetyjesus,0
hello / a link named slykbacc,azzu / knubs.,1
pgh carroll / s1,azzu / knubs.,1
miles / king fedora,duel / game,1
barrage / sylar,brothabebz / doghaus,0
skate / eight oh eight,soy / frenzy,1
slippy / pr0tein,metric / @ashkon_,1
reno / lucky,duel / game,0
gart / charlie,randy butternubs / majersk21,0
hunt / i4n,barrage / sylar,0
baeblade / dublat,shreddern64 / the postal tilt,0
beerman / gahtzu,soy / frenzy,0
dickey / lightning mcpeen,crawshaw / get loose,0
ginger / beach,metric / @ashkon_,0
amplas / indy,bluepartyhat / jon dog,0
reno / lucky,gart / charlie,0
hunt / i4n,baeblade / dublat,1
beerman / gahtzu,dickey / lightning mcpeen,0
ginger / beach,amplas / indy,0
reno / lucky,baeblade / dublat,0
beerman / gahtzu,ginger / beach,0
reno / lucky,beerman / gahtzu,0
reno / lucky,ginger / beach,0
bluepartyhat / jon dog,miles / king fedora,0
crawshaw / get loose,brothabebz / doghaus,0
shreddern64 / the postal tilt,skate / eight oh eight,1
randy butternubs / majersk21,slippy / pr0tein,1
bluepartyhat / jon dog,metric / @ashkon_,1
crawshaw / get loose,soy / frenzy,0
skate / eight oh eight,barrage / sylar,1
slippy / pr0tein,duel / game,1
hunt / i4n,metric / @ashkon_,0
gart / charlie,crawshaw / get loose,0
amplas / indy,barrage / sylar,0
dickey / lightning mcpeen,duel / game,1
hunt / i4n,gart / charlie,0
amplas / indy,duel / game,1
ginger / beach,hunt / i4n,0
baeblade / dublat,duel / game,0
ginger / beach,baeblade / dublat,0
beerman / gahtzu,ginger / beach,1
noodle / nala,reesch / greenwalk,1
reggie / hvac,booty bandit / fan,0
j666 / nes,reggie / hvac,0
j666 / nes,r2dliu / widl,1
j666 / nes,reesch / greenwalk,0
j666 / nes,lint / toe,0
smith / splendid,zook / suezo,1
smith / splendid,blendtec / odderon,1
lildemon / 808,noodle / nala,1
lildemon / 808,booty bandit / fan,1
stryke02 / backdoorpatrol,goonsquad / stif,1
stryke02 / backdoorpatrol,ritalin-and-steak / luke wilson,1
zook / suezo,reesch / greenwalk,1
zook / suezo,sneker / mudkyp,1
goonsquad / stif,reggie / hvac,0
goonsquad / stif,reesch / greenwalk,1
r2dliu / widl,goonsquad / stif,0
r2dliu / widl,sneker / mudkyp,0
r2dliu / widl,sneker / mudkyp,0
duck / prince abu,j666 / nes,0
duck / prince abu,reesch / greenwalk,0
