P1, P2, set winner
kaserias / waldorf,pain / clipboards,0
blahloozer / scrublord,kraut / tubs,0
stemjefferson / seren,shydude / shybabe,0
bigtuna / cstick,mountain peakz / bti,1
captainzack / pink fresh,kaserias / waldorf,0
proto / gameliking,blahloozer / scrublord,0
8bitman / nickriddle,stemjefferson / seren,0
nicole / zguh,mountain peakz / bti,0
captainzack / pink fresh,proto / gameliking,0
8bitman / nickriddle,nicole / zguh,0
captainzack / pink fresh,8bitman / nickriddle,0
captainzack / pink fresh,8bitman / nickriddle,0
mountain peakz / bti,pain / clipboards,1
stemjefferson / seren,kraut / tubs,0
blahloozer / scrublord,shydude / shybabe,0
kaserias / waldorf,bigtuna / cstick,0
pain / clipboards,stemjefferson / seren,1
blahloozer / scrublord,kaserias / waldorf,1
proto / gameliking,stemjefferson / seren,0
nicole / zguh,kaserias / waldorf,0
proto / gameliking,nicole / zguh,0
8bitman / nickriddle,proto / gameliking,0
dwn4thekaz / techtonio,mr.h / prime,0
xane / plokmok,mesmerist / thepsychicgamer,0
asoma / kip!,uncle puppy / assman,0
squiddy / dracish,crysisbacon / unkn0wnkami,0
rich brown / aarvark,dwn4thekaz / techtonio,0
puppeh / chudat,xane / plokmok,0
filip / shogun,asoma / kip!,0
fons / raynoire,squiddy / dracish,0
rich brown / aarvark,puppeh / chudat,0
filip / shogun,fons / raynoire,0
rich brown / aarvark,filip / shogun,0
rich brown / aarvark,puppeh / chudat,0
squiddy / dracish,mr.h / prime,0
asoma / kip!,mesmerist / thepsychicgamer,0
xane / plokmok,uncle puppy / assman,0
dwn4thekaz / techtonio,crysisbacon / unkn0wnkami,0
squiddy / dracish,asoma / kip!,0
xane / plokmok,dwn4thekaz / techtonio,1
puppeh / chudat,squiddy / dracish,0
fons / raynoire,dwn4thekaz / techtonio,1
puppeh / chudat,dwn4thekaz / techtonio,0
filip / shogun,puppeh / chudat,1
varisia / falchionpunch,cob / ethane,1
cob / ethane,forsaken / damit,1
colinies / tekno,beardenstein / k-grizz,0
colinies / tekno,kasper / eureka,1
colinies / tekno,bow / frozen,0
beardenstein / k-grizz,varisia / falchionpunch,0
beardenstein / k-grizz,hyper crasher / rog,0
beardenstein / k-grizz,forsaken / damit,0
samsora / saj,colinies / tekno,0
samsora / saj,ned / mjg,0
samsora / saj,ned / mjg,0
samsora / saj,hyper crasher / rog,0
ned / mjg,cob / ethane,0
ned / mjg,kasper / eureka,0
ned / mjg,kasper / eureka,0
kasper / eureka,beardenstein / k-grizz,0
kasper / eureka,bow / frozen,0
gnox / n,bow / frozen,1
hyper crasher / rog,thursday / bayless,0
hyper crasher / rog,gnox / n,0
bow / frozen,thursday / bayless,0
bow / frozen,forsaken / damit,0
that1blakkkid / flockaveli,truckerchu / saiyaman,0
bhyer / liacci,ce / braxton8,1
rubio / psherman,dyr / spark,1
nuhuh / ogc,slade / iiliitist,0
void / nakat,that1blakkkid / flockaveli,0
big_mak / boscotty,ce / braxton8,0
loe1 / ksev,dyr / spark,1
[t.t.d] blacktwins13 / hoh_venom,nuhuh / ogc,0
void / nakat,big_mak / boscotty,0
dyr / spark,[t.t.d] blacktwins13 / hoh_venom,0
void / nakat,dyr / spark,0
void / nakat,[t.t.d] blacktwins13 / hoh_venom,0
nuhuh / ogc,truckerchu / saiyaman,0
loe1 / ksev,bhyer / liacci,0
ce / braxton8,rubio / psherman,0
that1blakkkid / flockaveli,slade / iiliitist,1
nuhuh / ogc,loe1 / ksev,1
ce / braxton8,slade / iiliitist,1
big_mak / boscotty,loe1 / ksev,1
[t.t.d] blacktwins13 / hoh_venom,slade / iiliitist,0
loe1 / ksev,[t.t.d] blacktwins13 / hoh_venom,1
dyr / spark,[t.t.d] blacktwins13 / hoh_venom,1
truth / zoan,sharrrk / vinje,0
noe3 / grey,lunicktmm / sakuto,0
merrick / aqua,chexx / xzibita,0
absolomb / goof,les / rin,1
larry lurr / mr.r,truth / zoan,0
exjordanary / sethsational,noe3 / grey,1
cosmos / wrath,merrick / aqua,0
nova! / zex,les / rin,0
larry lurr / mr.r,noe3 / grey,0
cosmos / wrath,nova! / zex,0
larry lurr / mr.r,cosmos / wrath,0
larry lurr / mr.r,cosmos / wrath,0
les / rin,sharrrk / vinje,0
merrick / aqua,lunicktmm / sakuto,1
exjordanary / sethsational,chexx / xzibita,0
truth / zoan,absolomb / goof,0
les / rin,lunicktmm / sakuto,1
exjordanary / sethsational,truth / zoan,1
noe3 / grey,lunicktmm / sakuto,0
nova! / zex,truth / zoan,0
noe3 / grey,nova! / zex,1
cosmos / wrath,nova! / zex,0
coldweatherr / kasino,dono42 / abendrake,0
king_purple / u01,jayy / nuke,1
mando / lordtoko,pandali / double a battery,1
pikapika! / ozone,croatian sensation / outfoxd,0
pugwest / marss,coldweatherr / kasino,0
shadow / adorable knight,jayy / nuke,0
smasher1001 / technology,pandali / double a battery,0
phoenix / mav,pikapika! / ozone,1
pugwest / marss,shadow / adorable knight,0
smasher1001 / technology,pikapika! / ozone,0
pugwest / marss,smasher1001 / technology,0
pugwest / marss,shadow / adorable knight,0
phoenix / mav,dono42 / abendrake,0
pandali / double a battery,king_purple / u01,0
jayy / nuke,mando / lordtoko,0
coldweatherr / kasino,croatian sensation / outfoxd,0
phoenix / mav,pandali / double a battery,0
jayy / nuke,coldweatherr / kasino,0
shadow / adorable knight,phoenix / mav,0
pikapika! / ozone,jayy / nuke,1
shadow / adorable knight,jayy / nuke,0
smasher1001 / technology,shadow / adorable knight,1
dreamweaver / the rev,pierce / kider,1
qt / ferg,boneless / pikajak3,0
ace / baptraplap,hilt / son-in-law,0
plague_2 / mdragon,jk / dragonite,1
tweek / false,pierce / kider,0
nasubi / ri-ma,qt / ferg,0
stewy / powpow,ace / baptraplap,0
tloreo / syco,jk / dragonite,1
tweek / false,nasubi / ri-ma,0
stewy / powpow,jk / dragonite,1
tweek / false,jk / dragonite,0
tweek / false,nasubi / ri-ma,0
tloreo / syco,dreamweaver / the rev,0
ace / baptraplap,boneless / pikajak3,0
qt / ferg,hilt / son-in-law,1
pierce / kider,plague_2 / mdragon,1
tloreo / syco,ace / baptraplap,0
hilt / son-in-law,plague_2 / mdragon,1
nasubi / ri-ma,tloreo / syco,0
stewy / powpow,plague_2 / mdragon,0
nasubi / ri-ma,stewy / powpow,0
jk / dragonite,nasubi / ri-ma,1
grampa josh / #cheeky,ra¥ / aaa,0
lordmix / kingkong,egaz / winks,1
joecool^ / apollo,tyroy / zinoto,0
vegeta18 / dfault,orangekyle / masaru,0
iceunleashed / smdymek,dkdudeman / meatbeef,1
dkwill / mr.e,grampa josh / #cheeky,0
egaz / winks,joecool^ / apollo,0
jjrockets / karna,vegeta18 / dfault,0
crazycolorz5 / karinole,dkdudeman / meatbeef,0
dkwill / mr.e,egaz / winks,0
jjrockets / karna,crazycolorz5 / karinole,0
dkwill / mr.e,jjrockets / karna,0
dkwill / mr.e,jjrockets / karna,0
lordmix / kingkong,tyroy / zinoto,0
dkdudeman / meatbeef,ra¥ / aaa,0
vegeta18 / dfault,lordmix / kingkong,0
joecool^ / apollo,orangekyle / masaru,0
grampa josh / #cheeky,iceunleashed / smdymek,0
dkdudeman / meatbeef,vegeta18 / dfault,0
joecool^ / apollo,grampa josh / #cheeky,1
egaz / winks,dkdudeman / meatbeef,1
crazycolorz5 / karinole,grampa josh / #cheeky,0
dkdudeman / meatbeef,crazycolorz5 / karinole,1
jjrockets / karna,crazycolorz5 / karinole,0
supra / cascade,curry / catelt,0
hermit / oreeo,ddip / peegert,0
