P1, P2, set winner
blush,mattatari,0
apollo,joe barrels,1
kaserias,ronin x,0
varisia,kizu,1
ksev,blush,0
xzibita,joe barrels,1
z,kaserias,0
shadow_foxxd,kizu,0
ksev,joe barrels,0
z,shadow_foxxd,0
ksev,z,0
kizu,mattatari,1
kaserias,apollo,0
xzibita,ronin x,0
blush,varisia,0
mattatari,kaserias,1
xzibita,blush,1
joe barrels,kaserias,0
shadow_foxxd,blush,1
joe barrels,blush,1
z,blush,0
genericallynamed,that0neguy,1
genericallynamed,mambomd,1
kenta,busta,0
kenta,that0neguy,0
kenta,mambomd,0
kraut,treble,1
kraut,hosway,1
happinesstm,treble,1
busta,kraut,1
pikapika!,kenta,0
pikapika!,hosway,0
pikapika!,mambomd,0
that0neguy,happinesstm,1
that0neguy,hosway,0
cosmos,kenta,0
cosmos,happinesstm,0
cosmos,pikapika!,0
hosway,flamingolungs,0
mambomd,treble,0
mambomd,treble,0
flamingolungs,busta,1
deemo,adct,1
halfjack,absolomb,1
aava,iceman,1
snare,assman,0
mjg,adct,0
psherman,absolomb,0
iceninja,iceman,0
rin,snare,0
mjg,psherman,0
iceninja,rin,0
mjg,iceninja,0
snare,deemo,0
iceman,halfjack,0
absolomb,aava,0
adct,assman,0
snare,iceman,0
absolomb,adct,1
psherman,snare,1
rin,adct,0
snare,rin,1
iceninja,rin,0
kyra,bloop,0
matydee,parahax,0
lightsoul,chance,1
azo,aaa,1
seagull joe,kyra,0
ozone,matydee,1
keitaro,chance,1
nn7,aaa,0
seagull joe,matydee,0
chance,nn7,1
seagull joe,nn7,0
aaa,bloop,0
keitaro,parahax,1
ozone,lightsoul,0
kyra,azo,0
aaa,parahax,1
ozone,kyra,0
matydee,parahax,0
chance,ozone,1
matydee,ozone,0
nn7,matydee,0
truth,jpot,0
peegert,linkoln,1
propane,david viran,0
vorst,shybabe,0
craftis,truth,0
supa,linkoln,0
puppeh,propane,0
exjordanary,vorst,0
craftis,supa,0
puppeh,exjordanary,0
craftis,puppeh,1
vorst,jpot,0
propane,peegert,0
linkoln,david viran,0
truth,shybabe,0
vorst,propane,0
linkoln,truth,0
supa,vorst,0
exjordanary,linkoln,0
supa,exjordanary,0
craftis,supa,0
hyper crasher,sting,0
deus,gallyg,0
bourbon dad,jigg,0
xav,tank,0
lordmix,hyper crasher,1
alphamew,deus,1
z,bourbon dad,0
king james,xav,0
hyper crasher,deus,1
z,king james,1
deus,king james,1
xav,sting,0
bourbon dad,gallyg,1
alphamew,jigg,0
lordmix,tank,1
xav,gallyg,0
alphamew,tank,0
hyper crasher,xav,0
z,alphamew,0
hyper crasher,z,1
deus,z,0
spirit,synder,1
smookums,ez high,1
telmo,gameliking,0
iycewynd,fadversity,0
meek,yardyparty,0
lingling,synder,0
ez high,telmo,1
mister eric,iycewynd,0
d. disciple,meek,1
lingling,telmo,0
mister eric,meek,0
lingling,mister eric,0
smookums,gameliking,1
