p1,p2,finalPlacement
vinsanity,thrillhouse,9
onski,d35,9
eg,a to the z,9
jsmirk,rocket,25
deathcpo,bacorn,25
recneps,pintoa,33
apparition the ambassador,q!,33
jamjar,nardwell,25
$$$ jim $$$,piratetrips,7
llcstoism,pugs,9
fumbles,maniac379,17
ctg,nacl,5
rebel scum,the drew,25
scoback,rocktimus crime,17
janitor,lorenzo,13
box765,bhol,33
mando,limesoda,17
shears,marbles,5
barrels,dirtcruncher,17
barksanchez,darkhorse,3
yaron,knitephox,25
madrush21,da bear,13
dogg,dtan,2
komotonoto,battlecow,13
fireblaster,superboomfan,1
stranded,kerokeroppi,4
saltsizzle,professor_wizard,17
cormander,tyhiggz,17
gt,icactusdog,25
dogs_johnson,b33f,7
village mascot,papa,33
jay_mute$,whitejesus,17
lou sanus,dasit mane,25
hipstur,grahamaglam,25
walkrofsky,yolft,17
fishaman p,meerkat,13
