p1,p2,finalPlacement
qubit,xor,25
wario,wangera,4
aces,drhino,33
nothing,bodacious,33
daniel,sheick,17
lord narwhal,madrush21,13
djltheescapade,hatmadder,33
elel,bowl,9
nacl,ctg,13
apparition the ambassador,rizner,25
tmakk,mokkori,17
giraffe,klms,33
dwreck,sedda,25
jaimehr,superboomfan,1
daniels,kerokeroppi,17
pizzajokes,quitrage,33
fox,hipstur,13
t0mmii,t1mmy,33
revan,pidgezero_one,9
captain l,smurf,17
mariguas,morino,9
studstill,masterhandjob,13
kitsune,blues,33
sotoh,wookiee,17
rockmix,steamfriedasian,33
bark the shark,darkhorse,9
banze,kort,7
tacos,tr3g the z,2
d-tek,edwin...,33
cr0ak,yam$,33
dubs,freean,17
t brett,a la carte,25
grrg,lorenzo,33
smash jesus,shears,17
isai,rith,3
shalaka,jason,17
duncs,multiball,33
tot,pizza,25
eggmcmuffin888,fawnco,33
nattyb,p21,c,25
prime,silentknight,33
sugaaku,annex,25
tvdonk,starchild,25
vanillarin,kl3an,33
dext3r,pete,5
ybombb,snorlax,7
nintendude,fireblaster,5
