p1,p2,finalPlacement
the protagonistcollin,13
freeanduncs,17
hydrakimimaru,13
iacmeinukem,25
minusevpenance,33
joshinintendude,7
shalakaalvin,5
unbredmonkeyxshibō,33
jesusiskinggaggleforce,33
mariguasdext3r,3
onskiblondekid,17
k y s ktaimai,4
mazetaiko,25
sonicfuzzaces,17
kyle treejanitor,17
caposduff man,25
barksanchezdarkhorse,7
jaimehrsuperboomfan,1
kerokeroppidaniels,17
rockmixb vu,33
dcmastersuperflopp,33
sotohwookiee,13
llcstoismbon,17
zerostrandead,5
silentknightstarchild,33
tr3gtheztacos,2
dixoncidermoustasher,33
riznervillage mascot,25
p21cnatty,25
ctgnacl,9
iowndisgamfearlesscaboos,33
t-beauthe yid,33
d35broonz,25
shihmanletsgo,9
shearsmoonshoe,13
supernuggitrift,33
pacodr. grin,17
smash jesusjimmy joe,17
greenblobtonester,25
handsometomcobr,9
eggmcmuffin888hunter,33
mortechmonkey,25
madrush21dtan,9
