T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
paco,blondekid,duncs,sonicfuzz,0,2,0
rhubarb,handles,jamjar,nardwell,1,0,2
godspeed,mr.sir,seantos,lloyd-black,1,1,2
capos,pizza,schmerka berl,broonz,0,2,0
stranded,dusttin,katiebug (sfk),mrs. daniels,0,2,0
tmakk,ham,bigbeaver,dixoncyder,1,1,2
smurf,d35,turtle,mikeyg,0,2,0
superboomfan,jaimehr,paco,blondekid,0,2,0
kyle tree,jimmy joe,kerokeroppi,daniels,1,0,2
revan,derek #squats,jamjar,nardwell,0,2,0
fireblaster,madrush21,seantos,lloyd-black,0,2,0
dext3r,tacos,capos,pizza,0,2,0
janitor,heropie,stranded,dusttin,0,2,1
shears,barksanchez,bigbeaver,dixoncyder,0,2,0
wookiee,sotoh,smurf,d35,0,2,0
superboomfan,jaimehr,kerokeroppi,daniels,0,2,0
revan,derek #squats,fireblaster,madrush21,0,2,0
dext3r,tacos,janitor,heropie,0,2,0
shears,barksanchez,wookiee,sotoh,0,2,1
superboomfan,jaimehr,revan,derek #squats,0,2,0
dext3r,tacos,shears,barksanchez,0,2,1
superboomfan,jaimehr,dext3r,tacos,0,3,2
superboomfan,jaimehr,dext3r,tacos,0,3,0
smurf,d35,duncs,sonicfuzz,0,2,0
stranded,dusttin,rhubarb,handles,0,2,0
capos,pizza,godspeed,mr.sir,0,2,0
seantos,lloyd-black,schmerka berl,broonz,1,0,2
jamjar,nardwell,katiebug (sfk),mrs. daniels,0,2,0
kyle tree,jimmy joe,tmakk,ham,0,2,0
paco,blondekid,turtle,mikeyg,0,2,0
smurf,d35,bigbeaver,dixoncyder,0,2,1
stranded,dusttin,capos,pizza,0,2,0
schmerka berl,broonz,jamjar,nardwell,1,0,2
kyle tree,jimmy joe,paco,blondekid,0,2,0
fireblaster,madrush21,smurf,d35,0,2,0
kerokeroppi,daniels,stranded,dusttin,0,2,1
wookiee,sotoh,jamjar,nardwell,0,2,0
janitor,heropie,kyle tree,jimmy joe,0,2,1
fireblaster,madrush21,kerokeroppi,daniels,1,1,2
wookiee,sotoh,janitor,heropie,1,0,2
shears,barksanchez,kerokeroppi,daniels,0,2,0
revan,derek #squats,janitor,heropie,0,2,0
shears,barksanchez,revan,derek #squats,1,0,2
dext3r,tacos,revan,derek #squats,0,3,0
