T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
rawdog,fingerblast,redwolf,tallyshell,1,1,2
mello,zbomber,bennyboy98,q!,1,1,2
fs shampoomaster,fs mook,waxy:joe,quickcav,1,-1,0
nigel_thornberry,nert,shihman,esid,0,0,-1
tacos,superboomfan,redwolf,tallyshell,0,2,0
b.i.,tonester,tbq,the (.)(.),0,0,-1
shears,marbles,bennyboy98,q!,0,2,0
bread,dajjal,bunqiejump,flat nat,0,2,0
nintendude,fireblaster,waxy:joe,quickcav,0,2,0
purtle,natendo,apparition the ambassador,zuko,1,1,2
madrush21,barksanchez,nigel_thornberry,nert,0,2,0
a to the z,scoback,greeno,hotline,0,2,0
tacos,superboomfan,b.i.,tonester,0,2,0
shears,marbles,bread,dajjal,0,2,0
nintendude,fireblaster,apparition the ambassador,zuko,0,2,0
madrush21,barksanchez,a to the z,scoback,0,2,0
tacos,superboomfan,shears,marbles,0,3,1
nintendude,fireblaster,madrush21,barksanchez,1,1,3
tacos,superboomfan,madrush21,barksanchez,0,3,0
tacos,superboomfan,nintendude,fireblaster,0,3,0
greeno,hotline,rawdog,fingerblast,0,2,0
purtle,natendo,mello,zbomber,0,2,0
bunqiejump,flat nat,fs shampoomaster,fs mook,0,0,-1
tbq,the (.)(.),shihman,esid,0,0,-1
greeno,hotline,nigel_thornberry,nert,0,2,0
purtle,natendo,waxy:joe,quickcav,0,2,0
bunqiejump,flat nat,bennyboy98,q!,0,2,0
tbq,the (.)(.),redwolf,tallyshell,1,-1,0
bread,dajjal,greeno,hotline,0,2,0
b.i.,tonester,purtle,natendo,0,2,1
a to the z,scoback,bunqiejump,flat nat,0,2,1
apparition the ambassador,zuko,redwolf,tallyshell,0,2,0
bread,dajjal,b.i.,tonester,0,3,1
a to the z,scoback,apparition the ambassador,zuko,1,2,3
nintendude,fireblaster,bread,dajjal,0,3,1
shears,marbles,apparition the ambassador,zuko,0,3,0
nintendude,fireblaster,shears,marbles,0,3,0
madrush21,barksanchez,nintendude,fireblaster,1,2,3
