p1,p2,finalPlacement
dusttindaniels,21
blackf00tblanco mano,21
janitoronski,9
tacosjimmy joe,4
godspeedelitescoringguy,29
mortechmultiball,21
darkhorsebark the shark,5
seantoslloyd-black,29
dubsfreean,9
kirbstompersmurf,13
dext3rmariguas,2
handlesrhubarb,29
astumpycowastumpyzombie,29
mantis tobogganmagnus combosen,29
taikok-nut,21
freddy cougarjeremy,21
hipsturboomalready1,13
acessonicfuzz,21
bonfig,13
isaikerokeroppi,3
p21cnattybroh,21
jasontot,13
wookieesotoh,7
ryhomiusmaximusscaryman,21
madrush21eggmode,9
shihmankimimaru,7
jackmovesjackmoves,29
tmakkshears,9
boogie!pettanko-senpai,29
heropienear,5
superboomfanjaimehr,1
spaffjimbot,29
