T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
village mascot,rizner,missingn0,iceking,0,2,0
village mascot,rizner,a$,grahamaglam,1,0,2
village mascot,rizner,dunos_,derstuk,0,0,-1
missingn0,iceking,wolfcry,pvc,0,0,-1
jaimehr,superboomfan,missingn0,iceking,0,2,0
jaimehr,superboomfan,fck vwls,zero,0,2,0
jaimehr,superboomfan,a$,grahamaglam,0,2,0
fck vwls,zero,daniel,shears,0,-2,-2
fck vwls,zero,eliot,deathcpo,0,2,0
greeno,savior,missingn0,iceking,1,1,2
studstill,nesskhalifa,village mascot,rizner,0,2,0
studstill,nesskhalifa,fck vwls,zero,1,0,2
studstill,nesskhalifa,dunos_,derstuk,0,2,0
a$,grahamaglam,daniel,shears,1,0,2
a$,grahamaglam,j9d2,trevman,0,2,0
daniel,shears,studstill,nesskhalifa,1,1,2
daniel,shears,studstill,nesskhalifa,0,2,0
daniel,shears,j9d2,trevman,0,2,0
eliot,deathcpo,wolfcry,pvc,0,2,0
eliot,deathcpo,greeno,savior,0,2,0
eliot,deathcpo,daniel,shears,1,0,2
kd3,bunz,andrew,scott,0,2,0
freean,stevie g$👌👌👌👌👌👌👌👌,sammyswags,drewskii55,0,2,0
pizza,jason,cooljoe,jsmirk,0,2,0
rossi,lorenzo,lonk,tsmooth,0,2,1
prince,bonobono,kd3,bunz,0,2,0
pugs,cyoonit,freean,stevie g$👌👌👌👌👌👌👌👌,1,0,2
star king,cobr,pizza,jason,1,-1,0
elel,bowl,rossi,lorenzo,1,1,2
prince,bonobono,freean,stevie g$👌👌👌👌👌👌👌👌,0,2,1
pizza,jason,rossi,lorenzo,1,1,2
prince,bonobono,rossi,lorenzo,0,2,0
elel,bowl,andrew,scott,0,2,0
star king,cobr,sammyswags,drewskii55,1,-1,0
pugs,cyoonit,cooljoe,jsmirk,0,2,0
kd3,bunz,lonk,tsmooth,0,2,1
elel,bowl,sammyswags,drewskii55,0,2,0
pugs,cyoonit,kd3,bunz,0,2,0
freean,stevie g$👌👌👌👌👌👌👌👌,elel,bowl,1,1,2
pizza,jason,pugs,cyoonit,1,0,2
elel,bowl,pugs,cyoonit,0,2,1
rossi,lorenzo,elel,bowl,0,-2,-2
blisstex,nagurnimaster,hotpocket,brotherly,1,0,2
sugaaku,annex,big d [hamiel],zad,0,0,-1
amida,dasit mane,changed man,shishkabobs5,1,1,2
the protagonist,gt,stdangerous,the drew,0,2,0
alvin,isai,hotpocket,brotherly,0,2,0
breakthrough,finio,sugaaku,annex,0,2,1
shalaka,fireblaster,changed man,shishkabobs5,0,2,0
sotoh,wookiee,the protagonist,gt,0,2,0
alvin,isai,breakthrough,finio,0,2,0
shalaka,fireblaster,sotoh,wookiee,1,0,2
alvin,isai,sotoh,wookiee,0,2,0
the protagonist,gt,blisstex,nagurnimaster,0,2,0
changed man,shishkabobs5,big d [hamiel],zad,0,0,-1
sugaaku,annex,amida,dasit mane,1,0,2
hotpocket,brotherly,stdangerous,the drew,0,2,0
the protagonist,gt,changed man,shishkabobs5,0,2,1
amida,dasit mane,hotpocket,brotherly,0,2,0
breakthrough,finio,the protagonist,gt,0,2,0
shalaka,fireblaster,amida,dasit mane,0,2,0
breakthrough,finio,shalaka,fireblaster,1,0,2
sotoh,wookiee,shalaka,fireblaster,0,-2,-2
hoofy,bamster,sambook,purple fox,0,2,0
mustard tiger,rusty,thisisgettingold,bre,0,2,0
v-bomber,kristoff,derp,saijicani,0,2,0
eg,a to the z,yrn,mr.watchandlearn,0,2,0
tr3gthez,tacos,hoofy,bamster,0,2,0
razz,q!,mustard tiger,rusty,0,2,1
combo blaze,knitephox,v-bomber,kristoff,0,2,0
snorlax,sax,eg,a to the z,0,2,0
tr3gthez,tacos,razz,q!,0,2,0
combo blaze,knitephox,snorlax,sax,1,0,2
tr3gthez,tacos,snorlax,sax,0,2,1
eg,a to the z,sambook,purple fox,0,2,0
v-bomber,kristoff,thisisgettingold,bre,1,0,2
mustard tiger,rusty,derp,saijicani,0,2,0
hoofy,bamster,yrn,mr.watchandlearn,0,2,1
eg,a to the z,thisisgettingold,bre,0,2,1
mustard tiger,rusty,hoofy,bamster,0,2,0
razz,q!,eg,a to the z,0,2,1
combo blaze,knitephox,mustard tiger,rusty,0,2,0
