p1,p2,finalPlacement
freeanstevie g$👌👌👌👌👌👌👌👌,33
miniohh!moosh_da_moosh,33
jaimehrsuperboomfan,2
razzq!,25
lukemkevine,65
yrnmr.watchandlearn,65
snorlaxsax,17
derpsaijicani,65
kobratwunt,65
wangerakurabba,9
ocelotwal,65
mr.sirtyhiggz,33
star kingcobr,65
village mascotrizner,33
castawaythegoat,65
stdangerousthe drew,65
masterhandjobv,25
doggdtan,13
kd3bunz,49
thisisgettingoldbre,49
princebonobono,5
reeseblack rob,65
sotohwookiee,17
ruinaverage joe,65
pugscyoonit,25
shalakafireblaster,5
kerokeroppistranded,9
skyfiremaliki,49
a$grahamaglam,33
alvinisai,1
ntaseñorhen10r,33
big d [hamiel]zad,65
sugaakuannex,65
amidadasit mane,33
blisstexnagurnimaster,65
phalanxkwote,65
reptarthe dark gentleman,33
limesodameerkat,49
sheermadnessrevan,7
lotomrmarbles,13
benbookjobook,65
greenosavior,65
poptartplugnich,65
lonktsmooth,65
banzekort,9
wolfcrypvc,65
ctgnacl,13
ega to the z,33
breakthroughfinio,25
barksanchezdarkhorse,9
nardwellhamburglar,65
nuggzybillbacon420,65
pizzajason,33
napkinsapparition the ambassador,65
chiefreaperarcwarrior76,65
hoofybamster,49
sebula4bflakes,65
elelbowl,17
clubbadubbajimmy joe,17
hotpocketbrotherly,49
smurfcapos,33
changed manshishkabobs5,49
cooljoejsmirk,65
the protagonistgt,33
danielshears,17
sambookpurple fox,65
j9d2trevman,65
eliotdeathcpo,49
juan doecubite,65
dunos_derstuk,65
dizzleiheartqueso,49
nothinglord narwhal,17
fck vwlszero,13
chinstrapmariokartmoney,49
g0dmadrush21,65
dext3rmariguas,4
sammyswagsdrewskii55,49
andrewscott,65
bacornmaniac379,49
missingn0iceking,49
mustard tigerrusty,33
studstillnesskhalifa,25
v-bomberkristoff,65
ibc$$$ jim $$$,33
professor_wizardsaltsizzle,33
nintendudefiro,7
krutchbyclefairy as mew,49
tr3gtheztacos,3
spamusdroc,49
combo blazeknitephox,17
rossilorenzo,17
b33fdogs_johnson,25
korobenikijamjar,33
duffmangravyfingers,25
dfxmoonshoe,25
commandercwic-beam,49
