p1,p2,finalPlacement
cmullbigbeaver,9
eliotpidgezero_one,17
thenugespunker,9
zbl_mysticdane_gleesack,17
general1712chicken,17
spongyfireblaster,9
barksanchezshears,3
tr3gthezhandsometom,4
alvinmariguas,2
rustykristoff,9
jamjarnardwell,17
jimmy joeth3kuzinator,5
waldozuko,17
jancorevan,5
horbiesunnyb,7
nnaughtydogggildo,17
mr.sirmasterhandjob,7
bagelbread,17
whitejesusjay_mute$,13
primegt,13
superboomfanfiro,1
kazsun vulcan,13
beansdmolz,25
jonnjonnmattmatt,25
dark gentlemankelvinheit,17
greenostew,17
