name,finalPlacement
zeppelin,7
dizzle,17
mr.sir,9
gaymer,49
7blanks,17
master j.j.,49
puddn,49
massimo,25
imperium,33
rudedude,None
fireblaster,3
scratch,13
bp,9
pandemonium,25
dount,17
zarc,33
superkirby,33
ctg,9
nta,5
stephanie,33
driftintheabyss,33
maliki,9
bacorn,49
whuck,17
star king,2
mr. wang,17
stranded,1
truffleshuffle,25
phut,13
eliot,49
costaricancool,25
kelvinheit,13
dfx,5
hbrw-hammer,33
elvis,17
sedda,7
cobr,4
myk,33
zane,33
pika,33
lecceo,33
jc_chill,25
nardwell,49
dimension,33
elmustachio,33
locamash,33
cuppajoe,33
jamjar,13
sph,25
bonerstorm,25
peasantloaf,17
bubby,33
jdeezel,33
hotahota,17
pochilin,25
