name,finalPlacement
fireblaster,5
smurf,17
hero pie,5
letsgo,9
jgin,49
kavon,49
pewpewu,17
abc,65
scruffy mcwonder crumpet,49
fudgeball,25
weirdy man,33
pzero39,33
whitegrizzly,49
travkid,49
hipo,49
mojomonkey,7
akajumo,49
aisengobay,25
mookie,65
ngwn,49
xanz,33
pluto,25
zurdo,49
mr. slimey,25
kriskringle,33
daniels,65
rizner,25
mariguas,2
brny,33
t brett,17
gt,17
yungpurp,65
madrush21,9
supa,17
moze,33
nasian,33
touque,17
frogge,49
a la carte,25
mistertizye,49
java boy,49
dankey kang,49
ctg,65
m2cain,65
barron,25
connor,9
pizza,25
superboomfan,1
-philip coast philip-,33
silentknight,33
lookalike,33
wizzrobe,3
darkneon,17
jason,9
dusttin,65
chai,49
drewgong,17
prime,33
barksanchez,4
scootieloo,33
nintendude,7
fanboy,33
erk,33
spark,13
shanks,13
yung god,65
voidstar,65
probers,33
bon,13
prism,49
jedisalazar,49
littlespoon,33
captain l,13
