P1,P2,set winner,P1Score,P2Score
bodacious,kl3an,0,-2,-2
dubs,zwephy,0,2,0
shihman,shadow light master,0,2,0
dajjal,xiivi,0,2,0
tonester,yuxminato,0,2,0
shalaka,chaos pro,0,2,0
dfx,grunyan,0,0,-1
superboomfan,bodacious,0,2,0
dubs,shihman,0,2,0
dajjal,tonester,0,2,0
shalaka,dfx,0,0,-1
superboomfan,dubs,0,2,0
dajjal,shalaka,1,1,2
superboomfan,shalaka,0,-2,-2
zwephy,shadow light master,0,2,0
xiivi,yuxminato,0,2,0
chaos pro,grunyan,0,0,-1
dfx,kl3an,1,-1,0
tonester,zwephy,0,2,0
shihman,xiivi,0,2,0
bodacious,chaos pro,0,2,0
kl3an,tonester,1,0,2
shihman,bodacious,0,-2,-2
dubs,tonester,0,2,0
dajjal,shihman,0,2,0
dubs,dajjal,0,-2,-2
homemadewaffles,liam_butler,1,-1,0
studstill,swiftbass,0,2,0
killahertz,bean,0,2,0
revan,the professor,0,2,0
dr. grin,taiko,0,2,0
rizner,t0mmii,0,2,0
a la carte,aubfox,0,2,0
hero pie,liam_butler,0,2,0
studstill,killahertz,0,2,0
revan,dr. grin,0,2,0
rizner,a la carte,0,2,0
hero pie,studstill,0,2,0
revan,rizner,0,2,0
hero pie,revan,0,-2,-2
swiftbass,bean,0,2,0
the professor,taiko,0,2,0
t0mmii,aubfox,0,2,0
a la carte,homemadewaffles,0,2,0
dr. grin,swiftbass,1,1,2
killahertz,the professor,0,2,0
liam_butler,t0mmii,1,0,2
a la carte,swiftbass,0,2,0
killahertz,t0mmii,1,0,2
studstill,a la carte,0,2,0
rizner,t0mmii,0,2,0
studstill,rizner,0,-2,-2
djltheescapade,grrg,1,-1,0
elel,waffles,0,2,0
logic,prime,0,2,0
maliki,masterofzoroark,0,0,-1
imdabes,astropancakes,0,2,0
kimimaru,reptar,0,2,0
vudujin,atari,0,2,0
jaimehr,grrg,0,2,0
elel,logic,0,2,1
maliki,imdabes,0,2,0
kimimaru,vudujin,0,2,0
jaimehr,elel,0,2,0
maliki,kimimaru,1,0,2
jaimehr,kimimaru,0,-2,-2
waffles,prime,1,0,2
masterofzoroark,astropancakes,1,-1,0
reptar,atari,0,2,0
vudujin,djltheescapade,0,0,-1
imdabes,prime,0,2,0
logic,astropancakes,0,2,0
grrg,reptar,1,0,2
vudujin,imdabes,0,2,1
logic,reptar,1,0,2
elel,vudujin,0,2,0
maliki,reptar,0,2,0
elel,maliki,0,-2,-2
snowstorm,nyani,0,2,0
freean,kossismoss,0,2,0
pizza,beekle,0,2,0
zero,nathansandwich,0,2,0
toronto joe,themickeynick,0,2,0
eggmode,dd,0,2,0
dwreck,p21/c,0,2,1
fox,snowstorm,0,2,0
freean,pizza,0,2,0
zero,toronto joe,0,2,0
eggmode,dwreck,0,2,1
fox,freean,0,2,0
zero,eggmode,0,2,0
fox,zero,0,-2,-2
kossismoss,beekle,0,2,1
nathansandwich,themickeynick,0,2,0
dd,p21/c,1,0,2
dwreck,nyani,0,0,-1
toronto joe,kossismoss,0,2,0
pizza,nathansandwich,0,2,1
snowstorm,p21/c,0,2,1
dwreck,toronto joe,1,0,2
pizza,snowstorm,0,2,0
freean,toronto joe,0,2,0
eggmode,pizza,0,2,0
freean,eggmode,0,-2,-2
apparition the ambassador,silentknight,0,2,0
connor,irish,0,2,0
stonefallow,kingkool,0,2,0
madrush21,firefly,0,2,0
khakis,shwang,1,-1,0
marbles,paper tiger,0,2,0
daniels,slartibartfast42,0,2,0
isai,apparition the ambassador,0,2,0
connor,stonefallow,1,0,2
madrush21,shwang,0,2,0
marbles,daniels,0,2,0
isai,stonefallow,0,2,0
madrush21,marbles,1,1,2
isai,marbles,0,-2,-2
irish,kingkool,1,0,2
firefly,khakis,0,0,-1
paper tiger,slartibartfast42,1,0,2
daniels,silentknight,0,2,0
shwang,kingkool,1,0,2
connor,firefly,0,2,0
apparition the ambassador,slartibartfast42,0,2,0
daniels,kingkool,1,0,2
connor,apparition the ambassador,0,2,1
stonefallow,kingkool,0,2,0
madrush21,connor,0,2,0
stonefallow,madrush21,0,-2,-2
jpoptosis,fawnco,1,1,2
preston,raxcity,0,2,0
tmakk,jirachinick,0,2,0
kort,maps,0,2,0
hoofydough,zombieheart84,0,2,0
daniel,sfgman,0,2,0
nattyb,blaise,1,0,2
stranded,fawnco,0,2,0
preston,tmakk,0,2,1
