name,finalPlacement
fox,9
jirachinick,129
logic,97
bottle opener guy,97
lunchy,193
anathema,129
rith,33
dwreck,97
reptar,65
mariguas,5
shyboy,65
therapture_,97
ragingcherry,193
ham,129
blaise,65
grraffe,193
d35,33
esuma,129
jpoptosis,129
t0mmii,65
yakal,129
nathansandwich,129
ybombb,17
irish,193
stranded,9
akito555,193
4sk,193
pidgezero_one,97
homemadewaffles,129
red,193
toronto joe,65
lord narwhal,17
shwang,129
the professor,129
daniel,49
waffles,193
darkhorse,33
drewgong,129
bark the shark,25
paper tiger,193
dd,193
liam_butler,129
tetsu0,97
garv,193
steamfriedasian,97
stonefallow,49
vanillarin,65
dubs,49
prime,129
yam$,129
wario,1
harmless,129
bodacious,97
heartsdealer,129
marbles,25
kyle tree,17
cr0ak,193
pizza,65
azzy,193
silentknight,129
sleeh,193
dajjal,33
aces,129
heisenberg,193
apparition the ambassador,97
themickeynick,193
captain l,49
sheick,65
zwephy,129
djltheescapade,129
derstuk,129
mahie,193
god,193
vudujin,65
yuxminato,193
masterofzoroark,193
armor,129
krypto,97
nyani,129
jpeghero,129
nacl,25
tr3gthez,9
rice,129
grrg,129
shadow light master,193
sfgman,193
freean,33
tonester,65
banze,13
jazz,193
dfx,129
autobaun,65
madrush21,49
fry,129
kossismoss,129
aubfox,193
k-man,129
pizzajokes,97
imdabes,97
hoofydough,97
whiz kid,193
kort,17
morino,33
phex,129
drhino,129
jaimehr,17
sharktoast,129
eggmcmuffin888,129
blues,193
fireblaster,13
atari,193
lorenzo,65
duncs,97
shears,25
shasta,129
firefly,129
p21/c,129
nattyb,65
hungrybox,129
yung,193
zombie!,129
the amazing busterino,97
killahertz,97
bard,65
kerokeroppi,5
qubit,97
uh what,193
5000candlesinthewind,129
daniels,97
d-tek,193
astropancakes,129
han,97
xiivi,129
studstill,33
preston,49
hero pie,13
blondekid,129
zarfon,129
snowstorm,97
shalaka,17
maps,129
raxcity,193
shihman,65
bowl,33
dr. grin,129
bear,65
kevorkian,129
swiftbass,97
mr. biz,97
jason,33
sugaaku,129
collin the conqueror,97
geekliftus,97
chaos pro,129
r.o.m.,97
branchan,193
starchild,65
wizzrobe,7
multiball,97
drlight,129
grunyan,193
schmerka berl,129
rizner,49
smash jesus,65
beekle,193
jay-r,33
nothing,33
sedda,49
isai,4
janitor,25
wangera,3
shanks,49
t brett,97
aperture,193
pete,33
maliki,49
kl3an,97
connor,65
taiko,193
mokkori,49
myroknpancakes,129
kimimaru,17
ferrero64,193
snorlax,25
burnt out ninja,129
zuko,65
nintendude,25
ctg,49
lookalike,65
quitrage,97
skubtard,193
monk,193
dext3r,9
elel,49
fawnco,129
big d squirrels,129
masterhandjob,33
robert,33
zombieheart84,193
fmax,129
bunmira,193
klms,97
wookiee,33
a la carte,65
slartibartfast42,129
kingkool,65
onski,65
xor,65
bean,193
tvdonk,65
revan,13
tacos,7
mrryanness,129
fil,129
matt47,129
tmakk,97
pastor,129
smurf,65
sotoh,49
akiva,129
tot,49
j,193
edwin...,193
yunque,65
superboomfan,2
hipstur,25
big tone,193
eggmode,33
mr.sir,65
zero,17
annex,49
ern,65
dhir,129
dankestdad,97
batterybird,65
giraffe,129
khakis,193
weedwack,65
