P1,P2,set winner,P1Score,P2Score
1000,tuna,0,2,0
duck chris,evals,1,0,2
zergos,urpasmash,0,0,-1
superboomfan,1000,0,2,0
socrates,nyani,0,0,-1
snorlax,evals,0,2,0
janco,zergos,0,2,0
superboomfan,socrates,0,2,0
snorlax,janco,1,0,2
superboomfan,janco,0,-2,-2
zergos,tuna,0,2,0
nyani,duck chris,1,-1,0
1000,urpasmash,0,0,-1
zergos,evals,0,2,0
duck chris,1000,1,0,2
socrates,zergos,0,2,0
snorlax,1000,0,2,0
socrates,snorlax,0,-2,-2
luka,blizz,0,0,-1
sunshine,cardoso,1,1,2
caelan,cortese187,1,-1,0
kerokeroppi,luka,0,2,0
nesskhalifa,wincancel,0,2,0
derek #squats,cardoso,0,2,0
fck vwls,cortese187,0,2,0
kerokeroppi,nesskhalifa,0,2,0
derek #squats,fck vwls,1,1,2
kerokeroppi,fck vwls,0,-2,-2
cortese187,blizz,0,2,0
wincancel,sunshine,0,2,0
luka,caelan,0,2,1
cortese187,cardoso,0,2,0
wincancel,luka,0,2,0
nesskhalifa,cortese187,0,2,0
derek #squats,wincancel,0,2,0
nesskhalifa,derek #squats,0,-2,-2
ego,hero,0,0,-1
mourin,starcutter,0,2,0
no~m,jmabate,0,2,0
wizzrobe,ego,0,2,0
kyle,vanillarin,0,2,0
sextc,mourin,0,2,0
preston,no~m,0,2,0
wizzrobe,kyle,0,2,0
sextc,preston,1,0,2
wizzrobe,preston,0,-2,-2
no~m,hero,0,2,0
vanillarin,starcutter,0,2,0
ego,jmabate,1,0,2
no~m,mourin,0,2,0
vanillarin,jmabate,0,2,1
kyle,no~m,0,2,1
sextc,vanillarin,0,2,0
kyle,sextc,0,-2,-2
dude,turtlpower,1,-1,0
neth,smashlopez64,0,0,-1
tr3gthez,turtlpower,0,2,0
ivor,shake,0,2,1
nintendude,neth,0,2,0
mr.sir,vidya_james,0,2,0
tr3gthez,ivor,0,2,0
nintendude,mr.sir,0,2,0
tr3gthez,nintendude,0,-2,-2
vidya_james,dude,0,0,-1
shake,smashlopez64,0,0,-1
vidya_james,neth,1,0,2
shake,turtlpower,0,2,0
ivor,neth,0,2,0
mr.sir,shake,0,2,0
ivor,mr.sir,0,-2,-2
rf!,guccipivotmaster4000,1,-1,0
ir,ubll black mage,0,0,-1
revan,guccipivotmaster4000,0,2,0
broly,adrian,0,2,1
shears,ir,0,2,0
enneielle,rythemretrn,0,2,0
revan,broly,0,2,0
shears,enneielle,0,2,0
revan,shears,0,-2,-2
rythemretrn,rf!,0,0,-1
adrian,ubll black mage,0,0,-1
rythemretrn,ir,0,2,0
adrian,guccipivotmaster4000,0,2,0
broly,rythemretrn,0,2,1
enneielle,adrian,0,2,0
broly,enneielle,0,-2,-2
arctic,umi,0,2,1
blueman,qk shkz,0,2,0
bark the shark,arctic,0,2,0
b0n,cwic-beam,0,2,0
b link,blueman,0,2,0
captain fabulous,whoopiecow,0,2,0
bark the shark,b0n,0,2,1
b link,captain fabulous,0,2,1
bark the shark,b link,0,-2,-2
whoopiecow,umi,0,2,0
cwic-beam,qk shkz,0,2,0
whoopiecow,blueman,1,1,2
cwic-beam,arctic,0,2,0
b0n,blueman,0,2,0
captain fabulous,cwic-beam,0,2,0
b0n,captain fabulous,0,-2,-2
izoo,theycallmechris,0,2,1
sven stormbeard,salt,1,0,2
fireblaster,izoo,0,2,0
the big d,h2o,0,2,0
