P1,P2,set winner,P1Score,P2Score
shears,eggmode,0,2,0
shears,robslabgod,0,2,0
shears,bard,0,2,0
kerokeroppi,stranded,0,3,2
kerokeroppi,sonicfuzz,0,2,0
kerokeroppi,wookiee,0,2,0
kerokeroppi,derek #squats,0,2,1
kerokeroppi,dext3r,1,1,3
superboomfan,kerokeroppi,0,3,0
superboomfan,aces,0,2,0
superboomfan,barksanchez,0,2,0
superboomfan,sotoh,0,2,0
superboomfan,dext3r,0,3,1
superboomfan,dext3r,0,3,2
tacos,stranded,1,1,2
tacos,dusttin,0,2,0
tacos,janitor,0,2,0
tacos,heropie,1,-1,0
mr.sir,smurf,0,2,0
mr.sir,broonz,0,2,0
mr.sir,tmakk,0,2,0
preston,aces,0,2,0
preston,godspeed,0,2,0
preston,gera,0,2,0
stranded,barksanchez,0,3,2
stranded,blondekid,0,2,0
stranded,jaimehr,0,2,0
fireblaster,mr.sir,0,2,0
fireblaster,wookiee,0,2,0
fireblaster,jimmy joe,0,2,0
fireblaster,sombrero,0,2,0
daniels,schmerka berl,0,2,0
daniels,paco,0,2,0
dusttin,synth,1,1,2
dusttin,duncs,0,2,1
sonicfuzz,nardwell,0,2,0
sonicfuzz,ham,0,2,1
aces,capos,0,2,0
lloyd-black,rhubarb,1,1,2
barksanchez,daniels,0,2,0
barksanchez,heropie,0,2,1
barksanchez,jaimehr,0,2,0
barksanchez,revan,0,3,0
barksanchez,jackmehoff,0,2,0
nardwell,katiebug (sfk),0,2,0
smurf,moustasher,0,2,0
smurf,bigbeaver,0,2,1
wookiee,preston,0,2,1
wookiee,lloyd-black,0,2,0
wookiee,d35,0,2,0
schmerka berl,mikeyg,0,2,0
d35,sonicfuzz,0,2,0
d35,seantos,0,2,0
d35,rhubarb,0,2,0
janitor,schmerka berl,0,2,0
janitor,eggmode,0,2,0
janitor,bard,0,2,0
eggmode,synth,0,2,0
eggmode,paco,0,2,0
eggmode,mikeyg,0,2,0
madrush21,blondekid,0,2,0
madrush21,capos,0,2,0
madrush21,handles,0,2,0
heropie,mr.sir,0,2,0
heropie,sotoh,0,2,1
heropie,jimmy joe,0,2,0
heropie,luwolf,0,2,0
jamjar,seantos,0,2,0
jamjar,rhubarb,0,2,0
kyle tree,shears,0,2,0
kyle tree,nardwell,0,2,0
kyle tree,madrush21,0,2,0
kyle tree,onski,0,2,0
pizza,tmakk,0,2,0
pizza,sombrero,0,2,1
blondekid,godspeed,0,2,0
blondekid,gera,0,2,0
maximum can,capos,1,0,2
sotoh,preston,0,2,0
sotoh,d35,0,2,0
sotoh,turtle,0,2,0
jaimehr,janitor,0,2,0
jaimehr,madrush21,0,2,0
jaimehr,maximum can,0,2,0
jaimehr,onski,0,2,0
jimmy joe,daniels,0,2,1
jimmy joe,synth,0,2,0
jimmy joe,duncs,0,2,0
onski,jamjar,0,2,0
onski,ham,0,2,1
onski,katiebug (sfk),0,2,0
revan,shears,0,2,0
revan,fireblaster,0,2,0
revan,pizza,0,2,0
revan,dext3r,1,1,2
derek #squats,fireblaster,0,2,0
derek #squats,smurf,0,2,0
derek #squats,heropie,0,3,2
derek #squats,kyle tree,0,2,0
dext3r,stranded,0,3,0
dext3r,jamjar,0,2,0
dext3r,kyle tree,0,2,0
dext3r,derek #squats,0,3,0
handles,aces,1,0,2
sombrero,broonz,0,2,0
luwolf,synth,1,0,2
robslabgod,moustasher,1,0,2
turtle,gera,1,0,2
jackmehoff,paco,1,0,2
bard,pizza,0,2,0
bard,moustasher,0,2,0
bard,bigbeaver,0,2,0
