name,finalPlacement
smurf,25
blondekid,25
wookiee,13
onski,17
jackmehoff,49
bard,17
duncs,33
schmerka berl,33
sombrero,33
capos,33
luwolf,49
d35,17
gera,33
revan,7
tmakk,33
janitor,13
eggmode,17
moustasher,33
handles,33
madrush21,17
heropie,7
robslabgod,49
jamjar,25
jimmy joe,17
dext3r,2
mikeyg,49
kyle tree,9
turtle,49
derek #squats,5
bigbeaver,33
synth,25
shears,13
kerokeroppi,3
maximum can,49
superboomfan,1
tacos,9
katiebug (sfk),49
mr.sir,17
preston,17
stranded,4
fireblaster,9
daniels,25
dusttin,33
sonicfuzz,25
aces,25
seantos,33
lloyd-black,49
godspeed,33
ham,33
paco,33
broonz,49
jaimehr,9
pizza,25
sotoh,13
barksanchez,5
nardwell,33
rhubarb,33
