name,finalPlacement
bc_burns,65
precookedbread,65
shears,9
myk,97
mrryanness,97
lldl,49
tacos,2
maxi,65
bacorn,33
jaquarium,49
jimmy joe,17
hoofy,33
masterhandjob,25
rusty,25
moonshoe,33
slartibartfast42,49
pika,65
th3kuzinator,13
duckpimp,65
bodacious,65
quinceprince,65
et,65
umbra,33
wizzrobe,5
twunt,65
putpasswordhere,65
xlax,49
blank,97
q!,17
kaladin,49
dr. lampy,33
midgetto,33
cuppajoe,49
clubbadubba,9
tank,17
v-bomber,65
iceking,65
shug,65
pigwick,97
mixxedvegetables,49
frostbyte,65
tbone,65
lord narwhal,9
dfx,25
juno,97
fox,7
pochilin,49
iheartqueso,33
darkhorse,13
blisstex,97
mr.sir,17
tauvalian,49
daniel,13
chinstrap,65
superboomfan,1
yobolight,17
moist,49
knitephox,25
combo blaze,13
firo,7
zenaga,65
kristoff,49
poobearninja,17
maniac379,49
ppdmd,65
lights,65
ardent rage,65
jamjar,25
revan,4
kobra,65
amida,17
nothing,17
zuko,33
kerokeroppi,3
coin chaser,33
charlie harper,65
holosly,65
beaver,65
mariokartmoney,65
mustard tiger,33
bark the shark,5
bringdaruckus312,49
legoman,65
bard,97
fireblaster,9
the protagonist,25
leaf fc,49
master jay,65
dragoniota,33
ebay,65
wazzberry,33
icactusdog,97
rickter_scale,97
karlthemarx,49
rizner,33
village mascot,49
king lumsy,33
dizzle,33
kevorkian,97
mulkster,65
draxsel,65
korobeniki,25
darv,97
snack?,65
golfclubninja,65
dogs_johnson,33
fck vwls,25
