P1,P2,set winner,P1Score,P2Score
mojo,grrg,1,0,2
mojo,link,0,0,-1
killahertz,redwolf,1,-1,0
killahertz,myninja,1,-1,0
zuko,swankeaboo,0,2,0
zuko,myninja,0,2,0
tonester,mojo,0,2,0
tonester,sandman,0,2,0
tonester,sandman,0,2,0
tonester,grrg,0,-2,-2
sandman,golfclubninja,0,2,0
superboomfan,zuko,0,-2,-2
superboomfan,tonester,0,2,0
superboomfan,grrg,0,2,0
swankeaboo,sandman,1,0,2
swankeaboo,link,0,0,-1
grrg,bear,0,2,0
bear,myninja,1,0,2
redwolf,sandman,1,0,2
redwolf,grrg,1,0,2
myninja,grrg,1,0,2
golfclubninja,mojo,1,1,2
i use tap jump,mello,1,-1,0
daddy's milk,fingerblast,0,2,0
scratch,sam,0,2,0
sianvar,throwz?!,1,-2,-2
tallyshell,lalo,1,0,2
tacos,mello,0,2,0
daddy's milk,scratch,1,0,2
a to the z,throwz?!,0,2,0
the (.)(.),lalo,0,2,0
tacos,scratch,0,2,0
a to the z,the (.)(.),0,2,1
tacos,a to the z,0,-2,-2
fingerblast,sam,0,2,0
lalo,i use tap jump,0,0,-1
throwz?!,fingerblast,1,0,2
daddy's milk,sianvar,0,0,-1
mello,tallyshell,1,1,2
lalo,fingerblast,0,2,1
daddy's milk,tallyshell,0,2,0
scratch,lalo,0,2,0
the (.)(.),daddy's milk,0,2,0
scratch,the (.)(.),0,-2,-2
macintosh,jfm,0,2,0
kevorkian,razz,1,0,2
hotline,bennyboy98,0,2,0
hariballz,pugdaddyfre$hlyfeogg*flva,0,2,0
satch,swerve,0,2,0
barksanchez,macintosh,0,2,0
razz,hotline,1,0,2
shihman,hariballz,0,2,0
purtle,satch,0,2,0
barksanchez,hotline,0,2,0
shihman,purtle,0,2,0
barksanchez,shihman,0,-2,-2
kevorkian,bennyboy98,0,2,0
satch,jfm,0,2,0
hariballz,kevorkian,0,2,0
razz,pugdaddyfre$hlyfeogg*flva,0,2,0
macintosh,swerve,0,2,0
satch,hariballz,1,0,2
razz,macintosh,0,2,0
hotline,hariballz,0,2,0
purtle,razz,0,2,0
hotline,purtle,0,-2,-2
spaghetti,fs shampoomaster,0,-2,-2
heny935,highlyeducational,0,2,0
bonerstorm,bigbeaver,1,-1,0
cagt,fumofuu,0,-2,-2
apparition the ambassador,q!,0,0,-1
b.i.,jad,0,-2,-2
fireblaster,spaghetti,0,2,0
heny935,bigbeaver,0,2,0
tyhiggz,cagt,0,2,0
apparition the ambassador,b.i.,0,2,0
fireblaster,heny935,0,2,0
tyhiggz,apparition the ambassador,0,2,1
fireblaster,tyhiggz,0,-2,-2
highlyeducational,bonerstorm,0,0,-1
q!,jad,0,0,-1
b.i.,fs shampoomaster,0,0,-1
cagt,highlyeducational,0,2,1
bigbeaver,fumofuu,0,0,-1
spaghetti,q!,0,0,-1
b.i.,cagt,0,2,0
bigbeaver,spaghetti,0,2,0
heny935,b.i.,0,2,1
apparition the ambassador,bigbeaver,0,2,1
heny935,apparition the ambassador,0,-2,-2
