name,finalPlacement
natendo,25
bennyboy98,97
gt,13
lalo,33
greeno,33
nuro,49
apparition the ambassador,25
sianvar,65
spicky,97
flat nat,65
llcstoism,13
tyhiggz,9
barksanchez,3
tacos,2
myninja,33
dennysgrandslambreakfast,65
a to the z,17
highlyeducational,65
zyrg,33
xiivi,49
mechanicalmarine,65
pugdaddyfre$hlyfeogg*flva,65
bear,65
nintendude,5
hotline,25
spaghetti,49
esid,49
dajjal,7
jad,97
throwz?!,65
hariballz,33
bread,17
daddy's milk,33
macintosh,49
madrush21,9
leet,65
shears,7
sandman,33
scoback,13
mr.sir,13
tbq,33
spell,65
kaz,17
superboomfan,1
rgood,49
neverpullout,97
razz,33
mello,65
dark gentleman,65
giraphe,33
satch,49
cagt,49
sam,97
depressed eagle,65
jxc,25
muthaluva777,97
scratch,25
kevorkian,65
marbles,5
swerve,65
refriedjeans,65
laugh,65
zuko,17
kayo,97
kraken,65
tallyshell,49
ryden hope,97
squible,33
swankeaboo,65
leavescat,33
damp,49
tonester,25
golfclubninja,97
link,65
redribb0n,65
chicken,33
fireblaster,4
brambramjam,49
nigel_thornberry,65
yunque,9
q!,65
sunflower,17
banana fiend,65
heny935,25
alex,65
mike4real,97
fs shampoomaster,65
fs mook,97
shihman,9
mojo,49
grrg,25
the (.)(.),17
maestro,65
fumofuu,65
quickcav,49
bigbeaver,33
waxy:joe,33
bonerstorm,97
gildo,17
rawdog,49
fingerblast,49
i use tap jump,65
killahertz,65
bacorn,97
b.i.,33
purtle,17
jfm,65
scraggus,65
redwolf,49
