name,finalPlacement
flatline,33
qtip,25
flash,33
wowzers,17
barrels,17
nyx,33
bark the shark,2
kzidek,25
the american patriot,13
combo blaze,3
soulbroker,17
miles,33
tydye,33
ravioli,25
15(ichigo),33
andy,33
mando,9
pizza,33
saltsizzle,4
knitephox,5
depressed eagle,25
uncle onion,33
instacover,33
blahguy,25
izze,33
wizzrobe,1
recneps,25
marfslayer 3000,33
facechew,9
toro,13
fishaman p,7
dirtcruncher,17
hipstur,5
limesoda,9
yass2queen,17
jojohnson,33
mrpoo,25
chuck lubs,13
meerkat,7
oljace,33
hhhhhhhhhhhhhhh,17
thissidedown,17
ibc,9
stonehaus,17
xyk,13
avian,33
schlag,25
