P1,P2,set winner,P1Score,P2Score
superboomfan,shyguyking,0,0,-1
daniels,boogie!,0,2,0
onski,astumpycow,0,0,-1
superboomfan,boogie!,0,2,0
shyguyking,astumpycow,0,0,-1
daniels,onski,1,1,2
superboomfan,astumpycow,0,0,-1
boogie!,onski,1,0,2
shyguyking,daniels,1,-1,0
superboomfan,onski,0,2,0
astumpycow,daniels,1,-1,0
boogie!,shyguyking,0,0,-1
superboomfan,daniels,0,2,0
onski,shyguyking,0,0,-1
astumpycow,boogie!,1,-1,0
isai,spaff,0,0,-1
stonefallow,astumpyzombie,0,0,-1
smurf,blackf00t,0,2,0
isai,astumpyzombie,0,0,-1
spaff,blackf00t,1,-1,0
stonefallow,smurf,0,2,1
isai,blackf00t,0,2,0
astumpyzombie,smurf,1,-1,0
spaff,stonefallow,1,-1,0
isai,smurf,0,2,0
blackf00t,stonefallow,1,0,2
astumpyzombie,spaff,1,-1,0
isai,stonefallow,0,2,0
smurf,spaff,0,0,-1
blackf00t,astumpyzombie,0,0,-1
mariguas,jeremy,0,0,-1
tot,crazyk115,0,2,0
sonicfuzz,butcher of bakersfield,1,0,2
mariguas,crazyk115,0,2,0
jeremy,butcher of bakersfield,1,-1,0
tot,sonicfuzz,0,2,0
mariguas,butcher of bakersfield,0,2,0
crazyk115,sonicfuzz,1,0,2
jeremy,tot,1,-1,0
mariguas,sonicfuzz,0,2,0
butcher of bakersfield,tot,1,0,2
crazyk115,jeremy,0,0,-1
mariguas,tot,0,2,0
sonicfuzz,jeremy,0,0,-1
butcher of bakersfield,crazyk115,1,0,2
tacos,freddy cougar,0,2,0
shihman,seantos,0,2,0
kirbstomper,2%gay,0,2,0
tacos,seantos,0,2,0
freddy cougar,2%gay,0,2,0
shihman,kirbstomper,1,0,2
tacos,2%gay,0,2,0
seantos,kirbstomper,1,0,2
freddy cougar,shihman,1,-1,0
tacos,kirbstomper,0,2,0
2%gay,shihman,1,0,2
seantos,freddy cougar,1,1,2
tacos,shihman,0,2,0
kirbstomper,freddy cougar,0,2,0
2%gay,seantos,1,0,2
kerokeroppi,prime,0,0,-1
bon,fig,0,2,1
boomalready1,duncs,1,0,2
kerokeroppi,fig,0,2,0
prime,duncs,1,-1,0
