name,finalPlacement
stonefallow,25
sunshinetk,57
blackf00t,57
blanco mano,89
astumpycow,89
kabal,25
lloyd-black,73
crazyk115,73
jaimehr,7
ohhhbreezy,73
fig,73
tehz,89
broonz,57
nalgas,41
kirbstomper,25
handles,41
bard,17
kingcool,73
multiball,73
near,9
tmakk,41
rhubarb,73
2%gay,89
freean,17
boomalready1,57
godspeed,57
kerokeroppi,5
jet fuel,89
daniels,41
scaryman,89
magnus combosen,89
isai,3
sonicfuzz,57
duncs,41
heropie,9
starchild,41
dajjal,13
shwang,89
eggmode,17
adulix,89
djltheescapade,89
astumpyzombie,89
jpeghero,73
oxycontin,73
boogie!,57
superboomfan,1
mariguas,4
tacos,2
sotoh,9
wookiee,17
shears,13
aces,57
bon,25
k-nut,41
tot,17
taiko,41
jeremy,89
freddy cougar,57
darkhorse,17
jason,25
jimmy joe,25
prime,89
hipstur,13
shyguyking,73
bark the shark,7
smurf,41
mortech,57
spaff,73
janitor,17
dext3r,5
onski,17
seantos,73
elitescoringguy,57
kimimaru,9
dubs,41
shihman,41
nattybroh,41
p21/c,41
kohenbro,73
dr gibs,73
fen,73
woof,89
schmerka berl,57
the professor,57
cat,89
milleneum,57
butcher of bakersfield,41
jlo,41
moustasher,57
rabizkoshik,73
d35,13
paco,57
connor,25
madrush21,25
dusttin,41
jimbot,89
