P1,P2,set winner,P1Score,P2Score
gaijilla,ham,0,0,-1
thisisgettingold,gamer4life,1,1,2
trevman,thedarkdreamer,0,2,0
stark,dunos_,0,0,-1
superboomfan,gaijilla,0,2,0
iceking,stevie g$👌👌👌👌👌👌👌👌,1,0,2
lorenzo,gamer4life,0,2,0
bowl,kobra,0,2,0
combo blaze,trevman,0,2,0
blisstex,miniohh!,1,1,2
fck vwls,stark,0,2,0
grahamaglam,mr_sharpie93,0,2,0
superboomfan,stevie g$👌👌👌👌👌👌👌👌,0,2,0
lorenzo,bowl,1,0,2
combo blaze,miniohh!,0,2,0
fck vwls,grahamaglam,1,0,2
superboomfan,bowl,0,2,0
combo blaze,grahamaglam,0,2,0
superboomfan,combo blaze,0,-2,-2
mr_sharpie93,ham,0,0,-1
blisstex,thisisgettingold,0,2,0
kobra,thedarkdreamer,0,2,0
iceking,dunos_,0,0,-1
mr_sharpie93,stark,1,0,2
blisstex,trevman,0,2,0
kobra,gamer4life,1,0,2
iceking,gaijilla,1,0,2
lorenzo,stark,0,2,0
stevie g$👌👌👌👌👌👌👌👌,blisstex,0,2,0
fck vwls,gamer4life,0,2,0
miniohh!,gaijilla,0,2,0
lorenzo,stevie g$👌👌👌👌👌👌👌👌,0,2,0
fck vwls,miniohh!,0,2,1
grahamaglam,lorenzo,1,0,2
bowl,fck vwls,0,2,1
lorenzo,bowl,0,-2,-2
tylenol jones,sebastian,1,0,2
mattatari,the cfb,0,0,-1
phalanx,the drew,1,0,2
mariguas,sebastian,0,2,0
iheartqueso,v,0,2,0
pugs,ibc,0,2,1
amida,miken,0,0,-1
sheermadness,mattatari,0,2,0
apparition the ambassador,midgetto,0,2,0
robert,the drew,0,2,0
reptar,patty-wagon,0,0,-1
mariguas,iheartqueso,0,2,0
pugs,amida,1,0,2
sheermadness,apparition the ambassador,0,2,0
robert,reptar,0,2,0
mariguas,amida,0,2,0
sheermadness,robert,1,0,2
mariguas,robert,0,-2,-2
patty-wagon,tylenol jones,1,-1,0
miken,the cfb,1,-1,0
v,phalanx,0,0,-1
tylenol jones,the drew,1,0,2
midgetto,mattatari,0,2,0
the cfb,ibc,1,-1,0
