P1,P2,set winner,P1Score,P2Score
subtle,bogmyer,0,2,0
spongy,paul d,0,0,-1
superboomfan,bogmyer,0,2,0
subtle,spongy,0,2,0
superboomfan,paul d,0,0,-1
bogmyer,spongy,1,0,2
superboomfan,spongy,0,2,0
paul d,subtle,1,-1,0
superboomfan,subtle,0,2,0
paul d,bogmyer,1,-1,0
gildo,weatherman,0,2,0
korobeniki,karl,0,0,-1
mariguas,weatherman,0,2,0
gildo,korobeniki,1,0,2
mariguas,karl,0,0,-1
weatherman,korobeniki,1,0,2
mariguas,korobeniki,0,2,0
karl,gildo,1,-1,0
mariguas,gildo,0,2,0
karl,weatherman,1,-1,0
greeno,general1712,0,2,0
killahertz,whitejesus,1,-1,0
tr3gthez,general1712,0,2,0
greeno,killahertz,0,2,1
tr3gthez,whitejesus,0,2,0
general1712,killahertz,1,0,2
tr3gthez,killahertz,0,2,0
whitejesus,greeno,0,2,0
tr3gthez,greeno,0,2,0
whitejesus,general1712,0,2,0
jamjar,robnu,0,2,0
kaz,elu,0,2,0
alvin,robnu,0,2,0
jamjar,kaz,1,1,2
alvin,elu,0,2,0
robnu,kaz,1,0,2
alvin,kaz,0,2,0
elu,jamjar,1,0,2
alvin,jamjar,0,2,0
elu,robnu,1,0,2
bread,jonnjonn,0,0,-1
kelvinheit,prime,1,1,2
revan,jonnjonn,0,0,-1
bread,kelvinheit,0,2,1
revan,prime,0,2,0
jonnjonn,kelvinheit,1,-1,0
revan,kelvinheit,0,2,0
prime,bread,1,1,2
revan,bread,0,2,0
prime,jonnjonn,0,0,-1
zuko,nnaughtydogg,0,2,0
gt,stew,0,2,0
firo,nnaughtydogg,0,2,0
zuko,gt,1,1,2
firo,stew,0,2,0
nnaughtydogg,gt,1,0,2
firo,gt,0,2,0
stew,zuko,1,0,2
firo,zuko,0,2,0
stew,nnaughtydogg,0,2,0
horbie,grrg,0,0,-1
tehz,spunker,1,-1,0
fireblaster,grrg,0,0,-1
horbie,tehz,0,0,-1
fireblaster,spunker,0,2,0
grrg,tehz,1,-1,0
fireblaster,tehz,0,0,-1
spunker,horbie,1,1,2
fireblaster,horbie,0,2,0
spunker,grrg,0,0,-1
rusty,dmolz,0,2,0
bigbeaver,elated,1,1,2
cobr,dmolz,0,2,0
rusty,bigbeaver,0,2,1
cobr,elated,0,2,0
dmolz,bigbeaver,1,0,2
cobr,bigbeaver,0,2,0
elated,rusty,1,0,2
cobr,rusty,0,2,0
elated,dmolz,0,2,0
sunnyb,beans,0,2,0
pidgezero_one,golfclubninja,1,-1,0
shears,beans,0,2,0
sunnyb,pidgezero_one,0,0,-1
shears,golfclubninja,0,2,0
beans,pidgezero_one,0,0,-1
shears,pidgezero_one,0,0,-1
golfclubninja,sunnyb,1,0,2
shears,sunnyb,0,2,1
golfclubninja,beans,1,0,2
q!,mjim,0,2,0
sun vulcan,eliot,0,2,1
handsometom,mjim,0,2,0
q!,sun vulcan,0,2,0
handsometom,eliot,0,2,0
mjim,sun vulcan,1,1,2
handsometom,sun vulcan,0,2,0
eliot,q!,1,1,2
handsometom,q!,0,2,0
eliot,mjim,0,2,0
jimmy joe,zbl_mystic,0,2,0
