name,finalPlacement
dfx,33
tr3gthez,5
jonnjonn,65
smash jesus,33
jimmy joe,9
gildo,33
werewyatt,65
spongy,33
korobeniki,25
beans,33
robnu,49
revan,4
whitejesus,17
dmolz,65
lowww,9
prime,33
q!,25
thenuge,49
eliot,49
bread,17
dankpank,49
sunnyb,13
capos,33
kelvinheit,49
fireblaster,7
spunker,33
shears,9
firo,5
bigbeaver,49
greeno,33
cmull,33
yobolight,17
alvin,1
bogmyer,49
zuko,33
grrg,65
subtle,17
jamjar,33
tehz,49
gt,25
captain fabulous,17
zbl_mystic,33
killahertz,49
dark gentleman,13
chicken,49
elated,33
rusty,25
shihman,33
weatherman,49
janco,17
jollie,49
handsometom,7
nardwell,65
sun vulcan,33
bung0o,65
horbie,25
scratch,65
bagel,65
cobr,9
superboomfan,3
elu,65
robert,13
mariguas,2
stew,49
golfclubninja,49
general1712,65
kristoff,49
th3kuzinator,25
karl,65
jay_mute$,17
mjim,65
pidgezero_one,65
waldo,25
kaz,25
paul d,65
russellsprouts,65
mr.sir,13
masterhandjob,17
goosewithsocks,49
nnaughtydogg,65
