Tournament,slug,startDate,endDate,entrants
superboomed,2016-10-22,2016-10-23,80
operation-desert-smash-ii,2016-09-09,2016-09-11,57
snosa-ii,2016-06-18,2016-06-19,96
get-on-my-level-2016-good-game-con-ft-hbox-2,2016-05-20,2016-05-22,83
g3,2016-01-15,2016-01-18,238
boss-battle-2-1,2016-11-12,2016-11-13,90
shine-2016,2016-08-26,2016-08-28,109
pound-2016,2016-04-02,2016-04-03,107
wtfox-2,2016-07-02,2016-07-04,25
don-t-park-on-the-grass,2016-12-17,2016-12-19,73
smash-n-splash-2-1,2016-06-11,2016-06-12,47
super-smash-con-2016,2016-08-11,2016-08-14,314
g4,2017-01-20,2017-01-23,185
smash-conference-lxix-3,2017-01-07,2017-01-07,35
showdown-battle-royale,2016-12-10,2016-12-11,21
shine-2016,2016-08-26,2016-08-28,109
