T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
aids,codaption,cool lime,supersayianrenan,1,-2,-2
chrim foish,dkbill,wadi,mattyg,0,-2,-2
bizkit,kiwi,gadiel,seren,0,-2,-2
mikalott,masterofzoroark,proj r mlgsyd,proj r_ml_mastercore,0,-2,-2
pelca,lingling,vanddar,saintkardashianwest,0,-2,-2
screaminglobsters,wombat,pikasmash93,warhaxs,0,2,0
player-1,zinoto,rekshadow,rekgrizzly,0,-2,-2
adam grakowsky,mikeray4,iota,final smasher,0,-2,-2
tantaco,jakat,skwiggs,f.o.e.,0,2,1
lyric,seagull joe,nfoh,nikku,0,-2,-2
adhd,nairo,cool lime,supersayianrenan,0,2,0
chrim foish,dkbill,bizkit,kiwi,1,0,2
abadango,vinnie,mikalott,masterofzoroark,0,2,0
[t.t.d] pbk l emg l blacktwins13,v115,pelca,lingling,0,2,1
gomamugitya,taiheita,screaminglobsters,wombat,0,2,0
player-1,zinoto,adam grakowsky,mikeray4,1,-2,-2
mikehaze,anti,tantaco,jakat,0,2,0
atomsk,chudat,lyric,seagull joe,0,-2,-2
adhd,nairo,bizkit,kiwi,0,2,0
abadango,vinnie,[t.t.d] pbk l emg l blacktwins13,v115,1,0,2
gomamugitya,taiheita,adam grakowsky,mikeray4,0,2,0
mikehaze,anti,atomsk,chudat,0,-2,-2
adhd,nairo,[t.t.d] pbk l emg l blacktwins13,v115,0,3,1
gomamugitya,taiheita,mikehaze,anti,0,3,0
adhd,nairo,gomamugitya,taiheita,0,-2,-2
adhd,nairo,gomamugitya,taiheita,0,3,0
wadi,mattyg,gadiel,seren,0,-2,-2
rekshadow,rekgrizzly,iota,final smasher,1,1,2
lyric,seagull joe,aids,codaption,0,-2,-2
tantaco,jakat,wadi,mattyg,0,-2,-2
player-1,zinoto,proj r mlgsyd,proj r_ml_mastercore,0,-2,-2
screaminglobsters,wombat,vanddar,saintkardashianwest,0,2,0
pelca,lingling,pikasmash93,warhaxs,0,2,0
mikalott,masterofzoroark,iota,final smasher,0,-2,-2
chrim foish,dkbill,skwiggs,f.o.e.,0,2,0
cool lime,supersayianrenan,nfoh,nikku,0,2,0
lyric,seagull joe,tantaco,jakat,0,-2,-2
player-1,zinoto,screaminglobsters,wombat,0,2,0
pelca,lingling,mikalott,masterofzoroark,0,2,0
chrim foish,dkbill,cool lime,supersayianrenan,0,2,0
abadango,vinnie,lyric,seagull joe,0,2,0
bizkit,kiwi,player-1,zinoto,0,-2,-2
atomsk,chudat,pelca,lingling,1,0,2
adam grakowsky,mikeray4,chrim foish,dkbill,0,2,0
abadango,vinnie,bizkit,kiwi,0,2,0
pelca,lingling,adam grakowsky,mikeray4,1,0,2
mikehaze,anti,abadango,vinnie,1,-1,0
[t.t.d] pbk l emg l blacktwins13,v115,adam grakowsky,mikeray4,0,3,1
abadango,vinnie,[t.t.d] pbk l emg l blacktwins13,v115,1,2,3
gomamugitya,taiheita,[t.t.d] pbk l emg l blacktwins13,v115,0,3,0
