p1,p2,finalPlacement
rekshadowrekgrizzly,25
lyricseagull joe,9
wadimattyg,17
adam grakowskymikeray4,5
[t.t.d] pbk l emg l blacktwins13v115,3
mikehazeanti,5
abadangovinnie,4
aidscodaption,17
vanddarsaintkardashianwest,17
proj r mlgsydproj r_ml_mastercore,17
pikasmash93warhaxs,17
gomamugityataiheita,2
skwiggsf.o.e.,17
pelcalingling,7
screaminglobsterswombat,13
cool limesupersayianrenan,13
gadielseren,25
nfohnikku,17
tantacojakat,13
chrim foishdkbill,9
player-1zinoto,9
bizkitkiwi,7
mikalottmasterofzoroark,13
adhdnairo,1
atomskchudat,9
iotafinal smasher,17
