name,finalPlacement
faffly,25
aedrenaline,9
polarbair,25
jackl,25
dkbill,7
ethanrg,9
nolzor,41
shanook,25
croi,7
a2e,9
swail,17
monk,17
anti,3
mourin,17
mugutu,25
bendr,25
doggyness,25
pixie,17
wakka,17
dude,41
quote,41
wisifox,25
tarextherex,9
sawrik,41
tantaco,9
ray kalm,9
no~m,9
jams,9
diablomablo,25
firefly,25
nyani,41
nick fury,25
hell-dew,25
mittens,41
nial,17
ashley,9
ce,41
meekspeedy,9
jakat,41
1000,41
moss,17
kazik,41
famous,17
[t.t.d] pbk l emg l blacktwins13,5
danceman360,25
low expectations,25
holy,5
ally,1
zorc,9
smashlopez64,41
v115,2
evmaster,41
alphicans,4
kider,25
ak,9
san,9
arcana,41
summer was fun,41
dunston,9
blitz,41
therapture_,25
red x,9
o9 shard,9
