P1,P2,set winner,P1Score,P2Score
spyopz,shinooby,1,-1,0
jose queervo,blitz,0,0,-1
drdn,alfastryke,0,0,-1
kider,nick,0,0,-1
remzi,jcav,0,0,-1
gallyg,dayman,1,-1,0
loe1,shinooby,0,2,0
jose queervo,drdn,1,0,2
[t.t.d] blacktwins13,kider,0,2,0
remzi,dayman,0,2,0
loe1,drdn,0,2,0
[t.t.d] blacktwins13,remzi,0,2,0
loe1,[t.t.d] blacktwins13,0,3,0
loe1,[t.t.d] blacktwins13,0,3,0
blitz,alfastryke,0,0,-1
jcav,gallyg,0,0,-1
dayman,spyopz,0,0,-1
kider,blitz,0,0,-1
jose queervo,nick,0,0,-1
shinooby,jcav,0,0,-1
dayman,kider,0,2,0
jose queervo,shinooby,1,0,2
drdn,dayman,0,2,0
remzi,shinooby,0,2,0
drdn,remzi,1,0,2
[t.t.d] blacktwins13,remzi,0,3,0
