name,finalPlacement
average joe,65
mikeray4,13
atomsk,9
adam grakowsky,13
rekgrizzly,65
rich brown,7
vinnie,1
powersfire,65
musicalmashup,129
5wg5,33
solid valentine,97
saijicani,97
ralph cecil,97
tm06,97
esam,65
skippy,65
yolochi,33
arch,33
frostbyte,129
cool lime,33
mr_bottom_tier,97
k-phat,None
kden,65
kassandranova,33
ferey,49
gunfer,129
ziltoidfalco,129
ryozo ito,97
dragoniota,33
kiwi,17
ampersand,65
bizkit,25
mixit,97
mikalott,25
vincessant,25
kezzup,65
final smasher,97
ally,7
gadiel,9
xiivi,25
anti,4
powerplaya,129
seagull joe,9
banshee,65
praxis,33
darklite,49
zzz,97
rekshadow,65
v115,2
adhd,3
zaney,97
knowledge,97
reef,65
ld,97
big d,65
navii,129
leaf fc,65
[t.t.d] pbk l emg l blacktwins13,17
brian,65
rubrub el conquistador,129
cloverdale ice,97
scoopy,65
riz,129
sebastian,129
gonzogg,65
mr. roo,49
tantalus,17
seren,97
mr.e [rohr],97
lunar,33
dkbill,13
jonan,129
sova unknown,65
abadango,17
thedarkdreamer,65
player-1,5
sir_chunkz,97
masterofzoroark,49
generalconfusion,97
k-phat,33
thatguy,33
jewbacca,97
y.b.m.,97
kila cross,49
riseup93,129
ghost [cridlin],65
joe bee,33
ayce,129
proj r_ml_mastercore,129
darknight326,49
f.o.e.,49
captbutter,97
a to the z,65
proj r mlgsyd,129
alondite,65
saron,49
some freaking cactus,33
seo,97
akaboshi,97
derp,65
snackmoney,49
fuzzman,49
wadi,97
firewater,49
master j.j.,97
d4nace,65
giggitoxin,49
jedi,65
robo,49
mommy,33
bugcatcherwill,65
hsy,49
sharky,97
erhan,65
midnight,33
areeenen,129
llod,13
deliciouskale,129
ryko,97
iota,25
ebat,129
mvd,17
patty-wagon,129
nakat,17
pelca,25
penguinman47,17
rex_sheath,97
bmx,49
scoop,129
mew2king,9
calm,33
king_crab,129
cascade,97
zan,17
gambit,65
wombat,25
clsmandalore,65
supersayianrenan,25
kp kero,33
nikku,129
jakat,65
nfoh,97
pokevsim,65
redrobtata,129
pwnagepolice,49
gunfighterjl,97
apollo [triki],97
nairo,5
riko,97
jpin,129
keiththegeek,65
arcwarrior76,65
