Tournament,slug,startDate,endDate,entrants
super-smash-con-2016,2016-08-11,2016-08-14,152
Super Smash Con 2016,super-smash-con-2016,2016-08-11,2016-08-14,152
Super Smash Con 2016,super-smash-con-2016,2016-08-11,2016-08-14,152
Super Smash Con 2016,super-smash-con-2016,2016-08-11,2016-08-14,152
super-smash-con-2016,2016-08-11,2016-08-14,152
revival-of-brawl,2016-11-26,2016-11-26,18
revival-of-brawl,2016-11-26,2016-11-26,19
get-on-my-level-2016-good-game-con-ft-hbox-2,2016-05-20,2016-05-22,63
super-smash-con-2016,2016-08-11,2016-08-14,152
showdown-battle-royale,2016-12-10,2016-12-11,14
