Tournament,slug,Player 1, Player 2
BEAST 7,beast-7,revan,barksanchez
BEAST 7,beast-7,revan,isai
BEAST 7,beast-7,nintendude,jam
Genesis 4,g4,k y s k,ctg
Genesis 4,g4,inukem,d35
Genesis 4,g4,taiko,jimmy joe
Genesis 4,g4,taimai,jaimehr
Genesis 4,g4,wookiee,pizza jokes
Genesis 4,g4,yu-kun,shears
Genesis 4,g4,nickelbackstreetboy,kimimaru
Genesis 4,g4,zero,handsometom
Genesis 4,g4,k y s k,ctg
Genesis 4,g4,taimai,jaimehr
Genesis 4,g4,yu-kun,shears
Genesis 4,g4,k y s k,stranded
Genesis 4,g4,isai,taimai
Genesis 4,g4,mariguas,k y s k
Genesis 4,g4,k y s k,wizzrobe
Genesis 4,g4,k y s k,alvin
Genesis 4,g4,sotoh,freean
Genesis 4,g4,yu-kun,kyle tree
Genesis 4,g4,stranded,jaimehr
Genesis 4,g4,yu-kun,isai
Genesis 4,g4,mariguas,tr3gthez
Genesis 4,g4,alvin,superboomfan
SMASH CONFERENCE LXIX,smash-conference-lxix-3,kerokeroppi,dtan
SMASH CONFERENCE LXIX,smash-conference-lxix-3,sheermadness,loto
SMASH CONFERENCE LXIX,smash-conference-lxix-3,ctg,shears
Don't Park On The Grass,don-t-park-on-the-grass,jason,letsgo
Don't Park On The Grass,don-t-park-on-the-grass,barksanchez,fireblaster
Showdown: Battle Royale,showdown-battle-royale,lorenzo,pugs
