Tournament,slug,Player 1, Player 2
BEAST 7,beast-7,schlimmshady,overtriforce
BEAST 7,beast-7,mattdotzeb,fuzzyness
BEAST 7,beast-7,dizzkidboogie,jeapie
BEAST 7,beast-7,k-12,dizzkidboogie
BEAST 7,beast-7,nintendude,crush
BEAST 7,beast-7,sfat,the moon
BEAST 7,beast-7,leffen,armada
BEAST 7,beast-7,armada,leffen
BEAST 7,beast-7,daydee,dizzkidboogie
BEAST 7,beast-7,nintendude,fuzzyness
BEAST 7,beast-7,trif,mattdotzeb
BEAST 7,beast-7,sfat,slox
BEAST 7,beast-7,crush,android
BEAST 7,beast-7,professor pro,amsah
Smash Valley V,smash-valley-v,colbol,smashg0d
Smash Valley V,smash-valley-v,duck,llod
Smash Valley V,smash-valley-v,kjh,zain
Smash Valley V,smash-valley-v,llod,abate
Smash Valley V,smash-valley-v,swedish delight,mikehaze
Smash Valley V,smash-valley-v,bones,wenbobular
Smash Valley V,smash-valley-v,drephen,ibdw
Smash Valley V,smash-valley-v,bones,ibdw
Smash Valley V,smash-valley-v,abate,colbol
Smash Valley V,smash-valley-v,abate,zain
Smash Valley V,smash-valley-v,kjh,duck
Smash Valley V,smash-valley-v,mikehaze,swedish delight
Genesis 4,g4,phil,shamunt
Genesis 4,g4,satdaddy,gravy
Genesis 4,g4,tafokints,diplomatictucan
Genesis 4,g4,kalamazhu,fiction
Genesis 4,g4,the moon,mafia
Genesis 4,g4,cyrain,imyt
Genesis 4,g4,the moon,medz
Genesis 4,g4,medz,zgetto
Genesis 4,g4,homemadewaffles,fatgoku
Genesis 4,g4,dj nintendo,fatgoku
Genesis 4,g4,ka-master,boulevard
Genesis 4,g4,nmw,dev
Genesis 4,g4,squid,rk
Genesis 4,g4,captain smuckers,silentspectre
Genesis 4,g4,cactuar,drunksloth
Genesis 4,g4,druggedfox,darrell
Genesis 4,g4,ryan ford,army
Genesis 4,g4,darrell,army
Genesis 4,g4,darrell,cactuar
Genesis 4,g4,darrell,druggedfox
Genesis 4,g4,n0ne,kels
Genesis 4,g4,azusa,s0ft
Genesis 4,g4,mikehaze,iceman
Genesis 4,g4,iceman,mikehaze
Genesis 4,g4,vinodh,tafokints
Genesis 4,g4,android,luigikid
Genesis 4,g4,swedish delight,smashg0d
Genesis 4,g4,smashg0d,professor pro
Genesis 4,g4,bladewise,swedish delight
Genesis 4,g4,prince abu,ralph
Genesis 4,g4,zain,prince abu
Genesis 4,g4,vro,zain
Genesis 4,g4,lucky,syrox
Genesis 4,g4,ken,ciz
Genesis 4,g4,redd,ciz
Genesis 4,g4,laudandus,zorc
Genesis 4,g4,lovage805,r2dliu
Genesis 4,g4,frootloop,laudandus
Genesis 4,g4,r2dliu,frootloop
Genesis 4,g4,santiago,bobby frizz
Genesis 4,g4,adamayonmike,santiago
Genesis 4,g4,shroomed,chudat
Genesis 4,g4,smashg0d,professor pro
Genesis 4,g4,ice,army
Genesis 4,g4,eddy mexico,s0ft
Genesis 4,g4,crush,gahtzu
Genesis 4,g4,nintendude,mikehaze
Genesis 4,g4,abate,n0ne
Genesis 4,g4,ice,dizzkidboogie
Genesis 4,g4,crush,macd
Genesis 4,g4,duck,kjh
Genesis 4,g4,mew2king,plup
Genesis 4,g4,armada,mew2king
Genesis 4,g4,mang0,leffen
SWEET 25,sweet-25,nightmare,cal
SWEET 25,sweet-25,i4n,nightmare
SWEET 25,sweet-25,prince abu,ginger
SWEET 25,sweet-25,duck,kjh
SWEET 25,sweet-25,tm,nightmare
SWEET 25,sweet-25,ginger,yoyo
SWEET 25,sweet-25,kjh,duck
SMASH CONFERENCE LXIX,smash-conference-lxix-3,porkchops,sr-cue
SMASH CONFERENCE LXIX,smash-conference-lxix-3,a rookie,porkchops
SMASH CONFERENCE LXIX,smash-conference-lxix-3,wizzrobe,mew2king
SMASH CONFERENCE LXIX,smash-conference-lxix-3,mrlz,porkchops
SMASH CONFERENCE LXIX,smash-conference-lxix-3,colbol,syrox
SMASH CONFERENCE LXIX,smash-conference-lxix-3,syrox,professor pro
SMASH CONFERENCE LXIX,smash-conference-lxix-3,sfat,mew2king
