P1,P2,set winner,P1Score,P2Score
we don't need rime,bash crew,0,-2,-2
trumbull chat,dies irae,0,-2,-2
t rex masters,a racer a princess and their three pets,1,-2,-2
team diversity,challenge garden,0,2,0
thanks pat,lawn guyland,1,-2,-2
kenny's free burger,faded killas,1,-2,-2
giraphe is the worst player on the planet,triple leaf,0,-2,-2
dank nuggs,qcity,1,-2,-2
20weegweeg,blueprint spirits,0,-2,-2
the bongo boys,l o w b o y z,0,-2,-2
brandeis,for my boi harambe,1,-2,-2
rip wpi's tmg team,tangential radiobroadcast,0,-2,-2
president tse,cape ft wellesley,0,-2,-2
mltf,wpi b team,1,-2,-2
neu falco only,dreamland republic,0,-2,-2
gu cru,mob,0,-2,-2
boston university,pain train,0,-2,-2
heavy mtl,fundamental sphere,0,-2,-2
melee socialists,temp name,0,-2,-2
harvard x mit,always swaggin',0,-2,-2
sick players & stoc$,the perpendicular muffins,0,-2,-2
team space,for a 50 percent chance at 1 million dollars,0,-2,-2
leftovers,belmelee,0,-2,-2
chilerz,expert propaganda,0,-2,-2
lowkey melee,platinum city gaming,0,-2,-2
prince squad,we don't need rime,0,-2,-2
trumbull chat,a racer a princess and their three pets,1,-2,-2
team diversity,lawn guyland,0,-2,-2
faded killas,giraphe is the worst player on the planet,0,-2,-2
hyperbolic time chamber 2016 lineup >;3,qcity,0,-2,-2
20weegweeg,the bongo boys,0,-2,-2
!htc,for my boi harambe,0,-2,-2
rip wpi's tmg team,president tse,0,-2,-2
silent wolf and the norcals,wpi b team,0,-2,-2
neu falco only,gu cru,0,-2,-2
stb,boston university,0,-2,-2
heavy mtl,melee socialists,0,-2,-2
anti socal socal club,harvard x mit,0,-2,-2
sick players & stoc$,team space,0,-2,-2
welcome to boston,leftovers,0,-2,-2
chilerz,lowkey melee,0,-2,-2
prince squad,a racer a princess and their three pets,0,-2,-2
team diversity,faded killas,1,-2,-2
hyperbolic time chamber 2016 lineup >;3,20weegweeg,0,-2,-2
!htc,rip wpi's tmg team,0,-2,-2
silent wolf and the norcals,neu falco only,0,-2,-2
stb,heavy mtl,0,-2,-2
anti socal socal club,sick players & stoc$,0,-2,-2
welcome to boston,chilerz,0,-2,-2
prince squad,faded killas,0,-2,-2
hyperbolic time chamber 2016 lineup >;3,!htc,0,-2,-2
silent wolf and the norcals,stb,0,-2,-2
anti socal socal club,welcome to boston,0,-2,-2
prince squad,hyperbolic time chamber 2016 lineup >;3,0,-2,-2
silent wolf and the norcals,anti socal socal club,0,-2,-2
prince squad,silent wolf and the norcals,1,-2,-2
