T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
jflex,mew2king,the brometheus,insomniac,0,2,0
bubby,davyjones,tphez,kurigoat,0,2,0
dr. b,crispy will,cottons,porkloins,0,2,0
makar,l r a start fox,lima,rhino,1,0,2
g$,stango,mr. orange,dimension,0,2,0
avium,bigboiii,odyssey,sandman,0,2,0
lazy,copycat,abso,seven,0,2,0
pika,myk,panties,heck,1,0,2
dj nintendo,the moon,bacon,pochilin,0,2,0
clorox,buu,hrctypo,crimson,1,0,2
kite,tripod | triad_prodigy,pusheen queen,jbluray,0,2,0
dark mgets,liteup,chico,goon,1,-1,0
minty,kaeon,hawkdad,hawkboy1080yt,0,2,0
floppy tuesday,andysandy,steak,sleepy,0,2,1
darkgenex,runswithscissors,tony,shadowlink,0,2,0
destroyer,dreager1,imoogi,jc_chill,1,0,2
jflex,mew2king,bubby,davyjones,0,2,0
dr. b,crispy will,lima,rhino,0,2,0
g$,stango,avium,bigboiii,0,2,0
lazy,copycat,panties,heck,0,2,1
dj nintendo,the moon,hrctypo,crimson,0,2,0
kite,tripod | triad_prodigy,chico,goon,0,2,1
minty,kaeon,floppy tuesday,andysandy,0,2,0
darkgenex,runswithscissors,imoogi,jc_chill,0,2,0
jflex,mew2king,dr. b,crispy will,0,2,0
g$,stango,lazy,copycat,0,2,0
dj nintendo,the moon,kite,tripod | triad_prodigy,0,2,0
minty,kaeon,darkgenex,runswithscissors,0,2,0
jflex,mew2king,g$,stango,0,3,0
dj nintendo,the moon,minty,kaeon,0,3,1
jflex,mew2king,dj nintendo,the moon,0,3,0
jflex,mew2king,dj nintendo,the moon,1,1,3
dj nintendo,the moon,jflex,mew2king,0,3,0
the brometheus,insomniac,tphez,kurigoat,1,0,2
cottons,porkloins,makar,l r a start fox,0,2,0
mr. orange,dimension,odyssey,sandman,0,2,0
abso,seven,pika,myk,0,2,1
bacon,pochilin,clorox,buu,1,0,2
pusheen queen,jbluray,dark mgets,liteup,0,0,-1
hawkdad,hawkboy1080yt,steak,sleepy,1,0,2
tony,shadowlink,destroyer,dreager1,0,2,0
imoogi,jc_chill,tphez,kurigoat,0,2,0
floppy tuesday,andysandy,cottons,porkloins,1,0,2
chico,goon,mr. orange,dimension,0,2,0
hrctypo,crimson,abso,seven,0,2,0
panties,heck,clorox,buu,0,2,0
avium,bigboiii,pusheen queen,jbluray,0,2,0
lima,rhino,steak,sleepy,0,2,1
bubby,davyjones,tony,shadowlink,0,2,0
imoogi,jc_chill,cottons,porkloins,1,0,2
chico,goon,hrctypo,crimson,0,2,0
panties,heck,avium,bigboiii,0,2,0
lima,rhino,bubby,davyjones,1,0,2
lazy,copycat,cottons,porkloins,0,2,0
dr. b,crispy will,chico,goon,1,0,2
darkgenex,runswithscissors,panties,heck,1,0,2
kite,tripod | triad_prodigy,bubby,davyjones,0,2,1
lazy,copycat,chico,goon,0,3,0
panties,heck,kite,tripod | triad_prodigy,1,1,3
minty,kaeon,lazy,copycat,0,3,0
g$,stango,kite,tripod | triad_prodigy,0,3,0
minty,kaeon,g$,stango,1,1,3
dj nintendo,the moon,g$,stango,0,3,0
