p1,p2,finalPlacement
tphez,kurigoat,17
lazy,copycat,5
floppy tuesday,andysandy,17
mr. orange,dimension,17
minty,kaeon,4
lima,rhino,13
chico,goon,7
dj nintendo,the moon,1
makar,l r a start fox,25
cottons,porkloins,9
hrctypo,crimson,13
the brometheus,insomniac,25
clorox,buu,17
avium,bigboiii,13
hawkdad,hawkboy1080yt,25
g$,stango,3
steak,sleepy,17
dr. b,crispy will,9
pusheen queen,jbluray,17
jflex,mew2king,2
tony,shadowlink,17
destroyer,dreager1,25
pika,myk,25
bacon,pochilin,25
imoogi,jc_chill,13
triad_prodigy,5
abso,seven,17
darkgenex,runswithscissors,9
bubby,davyjones,9
panties,heck,7
dark mgets,liteup,25
odyssey,sandman,25
