T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
leffen,ice,pj,gibby,0,2,0
wobbles,isyan,mm720,jonas,0,2,0
bose,zaf,wingie,sheep,0,2,0
flippy,ludderix,socks,ac_anon,1,0,2
leffen,ice,mm720,jonas,0,2,0
pj,gibby,wingie,sheep,1,0,2
wobbles,isyan,socks,ac_anon,0,2,0
bose,zaf,flippy,ludderix,0,2,0
leffen,ice,wingie,sheep,0,2,0
mm720,jonas,socks,ac_anon,1,0,2
pj,gibby,flippy,ludderix,1,1,2
wobbles,isyan,bose,zaf,0,2,0
leffen,ice,socks,ac_anon,0,2,0
wingie,sheep,flippy,ludderix,1,0,2
mm720,jonas,bose,zaf,1,0,2
pj,gibby,wobbles,isyan,1,0,2
leffen,ice,flippy,ludderix,0,2,0
socks,ac_anon,bose,zaf,1,1,2
wingie,sheep,wobbles,isyan,1,0,2
mm720,jonas,pj,gibby,0,2,1
leffen,ice,bose,zaf,0,2,0
flippy,ludderix,wobbles,isyan,1,0,2
socks,ac_anon,pj,gibby,0,2,0
wingie,sheep,mm720,jonas,0,2,0
leffen,ice,wobbles,isyan,0,2,0
bose,zaf,pj,gibby,0,2,0
flippy,ludderix,mm720,jonas,0,2,0
socks,ac_anon,wingie,sheep,0,2,1
zorc,askeflink,eg0r,alain,0,2,0
jack,ajp_anton,supermandyo,kev,0,2,0
zippow,halogen,sebson,laser thunder,0,-2,-2
professor pro,fuzzyness,eg0r,alain,0,2,0
zorc,askeflink,sebson,laser thunder,0,2,0
jack,ajp_anton,zippow,halogen,0,-2,-2
professor pro,fuzzyness,supermandyo,kev,0,2,0
eg0r,alain,sebson,laser thunder,0,2,0
zorc,askeflink,jack,ajp_anton,0,2,0
professor pro,fuzzyness,sebson,laser thunder,0,2,0
supermandyo,kev,zippow,halogen,0,-2,-2
eg0r,alain,jack,ajp_anton,0,2,1
professor pro,fuzzyness,zippow,halogen,0,-2,-2
sebson,laser thunder,jack,ajp_anton,1,0,2
supermandyo,kev,zorc,askeflink,1,0,2
professor pro,fuzzyness,jack,ajp_anton,0,2,0
zippow,halogen,zorc,askeflink,0,-2,-2
supermandyo,kev,eg0r,alain,1,0,2
professor pro,fuzzyness,zorc,askeflink,0,2,0
zippow,halogen,eg0r,alain,0,-2,-2
sebson,laser thunder,supermandyo,kev,0,2,0
harald,sverre,thomdore,kenz,0,2,1
alpha dash,unreal,radio,sprak,0,2,0
