T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
butterlord,crimsonn,skydragon,reverse,1,-1,0
butterlord,crimsonn,indecisive,jyrow,0,0,-1
thoth,lymp,terb,bubs,0,2,1
thoth,lymp,slik,andyboy,0,2,0
azroix,riz0ne,qsb_fatty,louloucore,0,2,0
dhir,darkgenex,sackofwine,ponski,0,2,1
briefs,highwata,azroix,riz0ne,0,2,0
briefs,highwata,bonntoes,shade_hr,0,2,0
niar,1000,yellowbob0,tea,1,0,2
indecisive,jyrow,sackofwine,ponski,1,-1,0
slik,andyboy,ak47,cdoe,1,1,2
slippy,plum,kafka,bozy,0,2,0
slippy,plum,d$,dlos,1,0,2
slippy,plum,yellowbob0,tea,1,1,2
kafka,bozy,turtleclub,masterdong,1,0,2
dayman,andu,bonntoes,shade_hr,0,2,0
zhu,macd,turtleclub,masterdong,0,2,0
zhu,macd,plat,damian tyson,0,2,0
zhu,macd,crash,hex,0,2,0
zhu,macd,ryan ford,trulliam,1,1,3
zhu,macd,toph,kirbykaze,0,3,2
d$,dlos,briefs,highwata,0,2,0
d$,dlos,v115,[t.t.d] blacktwins13,1,0,2
plat,damian tyson,butterlord,crimsonn,0,2,0
plat,damian tyson,fork,phake,0,3,1
plat,damian tyson,v115,[t.t.d] blacktwins13,0,2,0
crash,hex,hvac,vierance,0,2,0
boat,neologism,niar,1000,0,2,0
boat,neologism,turtleclub,masterdong,0,2,0
boat,neologism,crash,hex,1,0,2
yardsale,alphicans,terb,bubs,0,2,0
yardsale,alphicans,skydragon,reverse,0,2,0
yardsale,alphicans,looke,tastygoldfish,0,2,0
yardsale,alphicans,legend,padre,1,1,2
fork,phake,azroix,riz0ne,0,2,0
fork,phake,yardsale,alphicans,0,2,0
fork,phake,ib,marvel,0,2,1
ryan ford,trulliam,ak47,cdoe,0,2,0
ryan ford,trulliam,fork,phake,0,2,0
ryan ford,trulliam,prince f. abu,kage,0,3,1
ryan ford,trulliam,toph,kirbykaze,0,2,0
looke,tastygoldfish,boat,neologism,0,2,0
looke,tastygoldfish,hvac,vierance,0,2,1
coffeeblack,monib,thoth,lymp,0,2,0
coffeeblack,monib,skydragon,reverse,0,2,0
coffeeblack,monib,plat,damian tyson,1,0,2
coffeeblack,monib,crash,hex,0,2,0
prince f. abu,kage,zhu,macd,0,3,0
prince f. abu,kage,d$,dlos,0,2,0
prince f. abu,kage,plat,damian tyson,0,3,0
prince f. abu,kage,yellowbob0,tea,0,2,0
lilypad,enjoy,ak47,cdoe,0,2,0
toph,kirbykaze,dhir,darkgenex,0,2,0
toph,kirbykaze,lilypad,enjoy,0,2,0
toph,kirbykaze,n0ne,nightmare,0,3,1
legend,padre,thoth,lymp,0,2,0
legend,padre,toph,kirbykaze,1,0,2
mew2king,armada,dayman,andu,0,2,0
mew2king,armada,ryan ford,trulliam,0,3,0
mew2king,armada,ryan ford,trulliam,0,3,0
mew2king,armada,looke,tastygoldfish,0,2,0
mew2king,armada,prince f. abu,kage,0,3,0
mew2king,armada,legend,padre,0,2,0
yellowbob0,tea,toph,kirbykaze,1,0,2
ib,marvel,briefs,highwata,0,2,0
ib,marvel,yellowbob0,tea,1,0,2
hvac,vierance,dayman,andu,0,2,1
hvac,vierance,qsb_fatty,louloucore,0,2,0
v115,[t.t.d] blacktwins13,dhir,darkgenex,0,2,0
v115,[t.t.d] blacktwins13,lilypad,enjoy,0,2,0
n0ne,nightmare,sackofwine,ponski,0,2,0
n0ne,nightmare,coffeeblack,monib,0,2,0
n0ne,nightmare,prince f. abu,kage,1,0,2
n0ne,nightmare,v115,[t.t.d] blacktwins13,0,2,0
