p1,p2,finalPlacement
thothlymp,17
kafkabozy,33
briefshighwata,17
ibmarvel,17
indecisivejyrow,33
daymanandu,25
azroixriz0ne,25
ak47cdoe,25
d$dlos,13
niar1000,33
ryan fordtrulliam,2
yardsalealphicans,9
v115[t.t.d] blacktwins13,9
boatneologism,17
crashhex,13
looketastygoldfish,13
skydragonreverse,17
slikandyboy,33
tophkirbykaze,5
hvacvierance,17
turtleclubmasterdong,25
sackofwineponski,25
coffeeblackmonib,9
butterlordcrimsonn,25
yellowbob0tea,13
prince f. abukage,3
slippyplum,25
n0nenightmare,7
terbbubs,25
forkphake,7
bonntoesshade_hr,33
lilypadenjoy,17
qsb_fattylouloucore,33
mew2kingarmada,1
platdamian tyson,5
zhumacd,4
legendpadre,9
dhirdarkgenex,17
