T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
exo,sigh,kity,eet,1,0,2
azianraven,tempo,borz,aozorax,0,2,0
kpan,baeblade,djoy,wal,0,2,0
warui,fro fo sho,dublat,type1,1,0,2
diabetodan,pisces,bloodzure,srd_javi,0,2,1
reno,lucky,kity,eet,0,2,0
azianraven,tempo,kpan,baeblade,1,0,2
wizzrobe,dizzkidboogie,dublat,type1,0,2,0
emt_sol,phish-it,diabetodan,pisces,0,2,0
reno,lucky,kpan,baeblade,0,2,0
wizzrobe,dizzkidboogie,emt_sol,phish-it,0,2,0
reno,lucky,wizzrobe,dizzkidboogie,0,2,1
reno,lucky,wizzrobe,dizzkidboogie,0,-2,-2
borz,aozorax,djoy,wal,0,2,0
diabetodan,pisces,exo,sigh,0,2,1
dublat,type1,borz,aozorax,0,2,0
azianraven,tempo,warui,fro fo sho,0,2,0
kity,eet,bloodzure,srd_javi,0,2,0
diabetodan,pisces,dublat,type1,1,0,2
azianraven,tempo,kity,eet,0,2,0
kpan,baeblade,dublat,type1,0,2,0
emt_sol,phish-it,azianraven,tempo,0,2,1
kpan,baeblade,emt_sol,phish-it,1,0,2
wizzrobe,dizzkidboogie,emt_sol,phish-it,0,2,0
malcodafalco,rhan,t3nshi,memo,1,1,2
dab,thad,zook,suezo,1,-1,0
it's a wonderful world,asuka!,gingerjesus,raisin,0,2,0
brochill,cookie,westbreezy,tortellini tyler,0,2,0
wobbles,nintendude,rylo ken,no love,0,2,0
teriyaki weeaboo,the piledriver,royal,kau,1,0,2
plup,axe,t3nshi,memo,0,2,0
zook,suezo,it's a wonderful world,asuka!,1,0,2
toph,kalamazhu,brochill,cookie,0,2,0
wobbles,nintendude,royal,kau,0,2,0
plup,axe,it's a wonderful world,asuka!,0,2,0
toph,kalamazhu,wobbles,nintendude,1,1,2
plup,axe,wobbles,nintendude,0,2,0
plup,axe,toph,kalamazhu,0,-2,-2
dab,thad,gingerjesus,raisin,1,-1,0
rylo ken,no love,teriyaki weeaboo,the piledriver,0,2,0
royal,kau,malcodafalco,rhan,1,0,2
brochill,cookie,gingerjesus,raisin,0,2,1
zook,suezo,westbreezy,tortellini tyler,0,2,0
t3nshi,memo,rylo ken,no love,0,2,0
malcodafalco,rhan,brochill,cookie,0,2,0
zook,suezo,t3nshi,memo,1,0,2
it's a wonderful world,asuka!,malcodafalco,rhan,0,2,0
toph,kalamazhu,t3nshi,memo,0,2,0
it's a wonderful world,asuka!,toph,kalamazhu,1,0,2
wobbles,nintendude,toph,kalamazhu,1,0,2
questcake,frio,syix,beak,0,2,0
rockcrock,barraca,cpu,vii,0,0,-1
le fou,starlord,depressed eagle,pop$,0,0,-1
bigvic340,jon carr,kanye rest,fool94,1,0,2
