p1,p2,finalPlacement
wreckbaj,65
smoofonehandbackhand,65
ghotiadmj,49
swiftbasstafokints,13
azianraventempo,33
zhumacd,7
prince abulaudandus,13
wizzrobedizzkidboogie,7
hotcakessausage,65
teriyaki weeaboothe piledriver,97
butt zoneflashburn 117,33
captain smuckersvortex,17
tarchwoodbgsatchel,65
plupaxe,2
emt_solphish-it,17
royalkau,65
waruifro fo sho,65
oberphoenix,97
renolucky,4
domstacarlito,33
furtafil,33
frootloopdruggedfox,9
hungryboxmew2king,1
iconglistening,97
jflexg$,13
dp's marioa rookie,25
risuemilywaves,65
t3nshimemo,33
warriorknightny joey,17
exosigh,65
tophkalamazhu,13
brokenyewdrunksloth,25
bearsfan092affirmative action,49
bigvic340jon carr,65
zooksuezo,49
westbreezytortellini tyler,65
ericmatchu,49
linguinifearless,17
swedish delightslox,5
malcodafalcorhan,33
chillypotpiewhales,49
le foustarlord,33
yortdashdancedan,25
alanshroomed,5
borzaozorax,65
arakunej$727,65
lemonanjel,49
dublattype1,33
nickelsclamjeez,65
calvinleahboo,65
gingerjesusraisin,65
poeflimwad,65
butlerruffian,49
djoywal,97
kpanbaeblade,25
emomoney,65
syixbeak,65
razejagz,33
focusmoonshine,49
$mikecrush,17
krudouma,97
missingbrimiq,65
kanye restfool94,49
questcakefrio,65
master brawlerchaoslink,65
oc zackoc mike the franchise,25
kityeet,49
not.briandr. acula zx,49
seanicthekiwi,97
bison.moctavian,65
nastyunvalued,97
raccistar99,65
rockcrockbarraca,25
depressed eaglepop$,65
ambitiondash,33
rylo kenno love,65
nightmaren0ne,17
dabthad,97
sr-cuerepsguy,49
baconprinny,25
wobblesnintendude,17
nameless joeblink,49
sabelanchar,33
cpuvii,97
rusealex19,33
huckmelvin,65
diabetodanpisces,49
tompsassmaster,97
bloodzuresrd_javi,65
dj nintendothe moon,9
r0ckyapop99,65
baka4moegawes,17
colbolharriet,9
shamuntkenpachi,33
chillindudechudat,9
v01dowl,33
it's a wonderful worldasuka!,25
s@ntyouma,33
kraineszzz,65
revelationquasar,65
cohenskinix,33
brochillcookie,49
sweet_luelfonzio,65
sfatpewpewu,3
eight oh eightskate,49
trickyjeffcrb,65
