T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
istock,atlas,jonjon,jedijakethemystical,1,0,2
istock,atlas,waltz,charlemagne,0,2,0
istock,atlas,simba,boxer,1,1,2
dawn,bestfriendjohn,yung arc,homemadewaffles,0,2,0
dawn,bestfriendjohn,jf,alp,0,2,1
dawn,bestfriendjohn,lealmobile,stormtrooper,0,2,0
dawn,bestfriendjohn,dai,nerin,0,3,2
the moon,dj nintendo,snowy,glibbyglobby,0,2,0
the moon,dj nintendo,pogo,kamikaze,0,2,0
the moon,dj nintendo,mt,tirno,0,3,0
the moon,dj nintendo,jf,alp,0,3,0
the moon,dj nintendo,freeshampoo,ungiven,0,2,0
cuno,armand,zytral,brendy,0,2,0
cuno,armand,chandy,nihlus,0,2,0
cuno,armand,bourbonjr,gree,0,2,0
kity,citrus,smashphantom,heavenlyflow,0,2,0
kity,citrus,spamus,trademark,0,0,-1
kity,citrus,simba,boxer,1,0,2
jonjon,jedijakethemystical,pogo,kamikaze,1,0,2
jonjon,jedijakethemystical,briscoe,leezy,0,2,0
jonjon,jedijakethemystical,freeshampoo,ungiven,0,2,0
chandy,nihlus,pip,tyler,0,0,-1
uncle mojo,jake13,the moon,dj nintendo,1,0,3
uncle mojo,jake13,undefined,tiedyeguy,0,2,0
uncle mojo,jake13,thoraxe,waterlessfishie,0,2,0
snowy,glibbyglobby,salt,xeno,0,2,1
snowy,glibbyglobby,dai,nerin,1,1,2
salt,xeno,murrkin,bunz,0,2,0
salt,xeno,yung arc,homemadewaffles,1,0,2
salt,xeno,wolfeye,marvel,0,2,0
lgt,legion,pip,tyler,0,0,-1
lgt,legion,pogo,kamikaze,0,2,0
lgt,legion,jesusgoestoprom,exotonic,0,2,0
lgt,legion,nessnger,habi,0,2,0
pogo,kamikaze,kity,citrus,0,2,0
pogo,kamikaze,queuess,linus,0,2,0
ramrow,mayo,queuess,linus,0,2,1
spood,cemith,cuno,armand,1,0,2
spood,cemith,blake,kohai,1,0,2
the_cucumbuh,kandyman,murrkin,bunz,0,2,0
briscoe,leezy,ramrow,mayo,1,0,2
yung arc,homemadewaffles,sparkswordkirby,fjt,0,2,0
yung arc,homemadewaffles,jonjon,jedijakethemystical,0,2,0
yung arc,homemadewaffles,azureflame,blizzy nuggs,1,-1,0
mt,tirno,dawn,bestfriendjohn,0,3,2
mt,tirno,uncle mojo,jake13,1,0,3
mt,tirno,ramrow,mayo,0,2,0
mt,tirno,dai,nerin,0,2,0
jf,alp,jaywalker,bombchu,0,2,0
jf,alp,the lil d that could,brian,0,2,0
jf,alp,tuesday,drewzey,0,2,1
bourbonjr,gree,undefined,tiedyeguy,1,0,2
azureflame,blizzy nuggs,snowy,glibbyglobby,1,0,2
azureflame,blizzy nuggs,lgt,legion,1,0,2
azureflame,blizzy nuggs,the_cucumbuh,kandyman,0,2,0
lealmobile,stormtrooper,herbmaster%,dinowulf,0,2,1
lealmobile,stormtrooper,smashphantom,heavenlyflow,0,2,0
undefined,tiedyeguy,nessnger,habi,1,0,2
jesusgoestoprom,exotonic,chandy,nihlus,1,0,2
jaywalker,bombchu,waltz,charlemagne,0,2,0
jaywalker,bombchu,lealmobile,stormtrooper,0,2,1
blake,kohai,sparkswordkirby,fjt,0,2,0
blake,kohai,lgt,legion,0,2,1
blake,kohai,mt,tirno,1,0,2
blake,kohai,jf,alp,1,0,3
the lil d that could,brian,the p-diddler,slap,0,2,0
the lil d that could,brian,ramrow,mayo,0,2,0
the lil d that could,brian,daz,n3on,0,2,1
adrenaline,hutchcha,sparkswordkirby,fjt,1,-1,0
dai,nerin,cuno,armand,0,2,0
dai,nerin,jaywalker,bombchu,0,2,0
dai,nerin,the lil d that could,brian,0,2,0
wolfeye,marvel,spood,cemith,1,0,2
thoraxe,waterlessfishie,lgt,legion,0,2,1
thoraxe,waterlessfishie,yung arc,homemadewaffles,1,0,2
ice,westballz,murrkin,bunz,1,-1,0
ice,westballz,spood,cemith,1,-1,0
spamus,trademark,jaywalker,bombchu,1,-1,0
simba,boxer,herbmaster%,dinowulf,0,2,0
simba,boxer,uncle mojo,jake13,1,0,2
simba,boxer,jf,alp,1,0,2
nessnger,habi,zytral,brendy,0,2,0
tuesday,drewzey,cuno,armand,0,2,0
tuesday,drewzey,the_cucumbuh,kandyman,0,2,0
tuesday,drewzey,nessnger,habi,0,2,0
thevelvetmarmot,eet,the_cucumbuh,kandyman,1,-1,0
thevelvetmarmot,eet,blake,kohai,1,-1,0
thevelvetmarmot,eet,adrenaline,hutchcha,0,0,-1
mew2king,sfat,dawn,bestfriendjohn,0,2,0
mew2king,sfat,the moon,dj nintendo,0,3,0
mew2king,sfat,the moon,dj nintendo,0,3,0
mew2king,sfat,chandy,nihlus,0,2,0
mew2king,sfat,uncle mojo,jake13,0,3,0
mew2king,sfat,tuesday,drewzey,0,2,0
freeshampoo,ungiven,the p-diddler,slap,0,2,0
freeshampoo,ungiven,daz,n3on,0,2,0
s2j,lucky,istock,atlas,1,-1,0
s2j,lucky,spamus,trademark,1,-1,0
