T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
blackout,scarecrow,zurdo,jnukes4jesus,0,2,0
sorry,quibb,dank,hadoken,1,0,2
haelst,toka,brawlwasbetter,amber,0,2,1
pewpewu,sfat,blackout,scarecrow,0,2,0
yikes,nigel,zen,namsang,0,2,0
iceman,syphichan,dank,hadoken,0,2,1
webwipe,mojomonkey,haelst,toka,0,2,0
pewpewu,sfat,yikes,nigel,0,2,0
iceman,syphichan,webwipe,mojomonkey,1,0,2
pewpewu,sfat,webwipe,mojomonkey,0,2,0
haelst,toka,zurdo,jnukes4jesus,0,2,0
zen,namsang,sorry,quibb,0,2,1
blackout,scarecrow,brawlwasbetter,amber,0,2,0
haelst,toka,dank,hadoken,1,0,2
zen,namsang,blackout,scarecrow,1,1,2
yikes,nigel,dank,hadoken,0,2,0
iceman,syphichan,blackout,scarecrow,1,1,2
yikes,nigel,blackout,scarecrow,0,2,0
webwipe,mojomonkey,yikes,nigel,0,-2,-2
raito,blahcookies,wasp,yeezus,1,0,2
triple f,piner,kackey,egg,0,2,0
zazu,denpa,burnin taco,beerz4yearz,1,0,2
ice,leffen,wasp,yeezus,0,2,0
metric,buttercup,schwa,heretic,0,2,0
mew2queen,nmw,triple f,piner,0,2,0
tinojoe,sway,burnin taco,beerz4yearz,0,2,0
ice,leffen,metric,buttercup,0,2,0
mew2queen,nmw,tinojoe,sway,1,0,2
ice,leffen,tinojoe,sway,0,2,0
burnin taco,beerz4yearz,raito,blahcookies,1,0,2
schwa,heretic,kackey,egg,0,2,1
wasp,yeezus,zazu,denpa,0,2,0
raito,blahcookies,triple f,piner,0,2,0
schwa,heretic,wasp,yeezus,1,0,2
metric,buttercup,raito,blahcookies,0,2,0
mew2queen,nmw,wasp,yeezus,0,2,1
metric,buttercup,mew2queen,nmw,1,0,2
tinojoe,sway,mew2queen,nmw,0,-2,-2
flex,pilldemon,stop,rumi,0,2,0
nwchris,globe,bome,ogsupersand,0,2,0
mexican ghost,felix,aaron g,jball,0,2,0
hungrybox,swedish delight,flex,pilldemon,0,2,0
punk panda,chevy,derrick,dacky,0,2,0
psychomidget,mchi,nwchris,globe,0,2,0
rk,bodlack,mexican ghost,felix,1,1,2
hungrybox,swedish delight,punk panda,chevy,0,2,0
psychomidget,mchi,mexican ghost,felix,0,2,0
hungrybox,swedish delight,psychomidget,mchi,0,2,0
rk,bodlack,stop,rumi,0,0,-1
derrick,dacky,bome,ogsupersand,0,2,0
flex,pilldemon,aaron g,jball,0,2,0
rk,bodlack,nwchris,globe,0,2,0
derrick,dacky,flex,pilldemon,1,1,2
punk panda,chevy,rk,bodlack,0,2,1
mexican ghost,felix,flex,pilldemon,1,1,2
punk panda,chevy,flex,pilldemon,1,0,2
psychomidget,mchi,flex,pilldemon,0,-2,-2
monkeykills27,condor,digital,barth,0,2,0
yon,danye,the,it,0,2,1
dahnade,chilly,faddiaddi,pocket sand,1,0,2
twin,javi,monkeykills27,condor,0,2,0
im_jk,umasi,l33t,madjick,0,2,0
oreo,theprime,yon,danye,0,2,0
yardsale,jv,faddiaddi,pocket sand,0,2,1
twin,javi,im_jk,umasi,0,2,0
oreo,theprime,yardsale,jv,1,1,2
twin,javi,yardsale,jv,0,2,0
faddiaddi,pocket sand,digital,barth,0,2,1
l33t,madjick,the,it,0,2,1
monkeykills27,condor,dahnade,chilly,0,2,0
faddiaddi,pocket sand,yon,danye,0,2,0
l33t,madjick,monkeykills27,condor,1,1,2
im_jk,umasi,faddiaddi,pocket sand,1,1,2
oreo,theprime,monkeykills27,condor,0,2,0
faddiaddi,pocket sand,oreo,theprime,1,0,2
yardsale,jv,oreo,theprime,0,-2,-2
bl1nd_gh0st,lmnts,mold,parrotiopsis,0,2,0
isaac_gs,peachboss,daniels,dusttin,0,0,-1
ohai,sdking,yorozuya volk-chan,koschka,0,2,1
westballz,gahtzu,bl1nd_gh0st,lmnts,0,2,0
almond,zeddy,beewesley,r0cket_wizard,1,0,2
shoyo,chip,isaac_gs,peachboss,0,2,0
fuck this lame ass game,arm & hammer,ohai,sdking,1,1,2
westballz,gahtzu,beewesley,r0cket_wizard,0,2,0
shoyo,chip,ohai,sdking,0,2,0
westballz,gahtzu,shoyo,chip,0,2,1
fuck this lame ass game,arm & hammer,mold,parrotiopsis,0,2,0
almond,zeddy,daniels,dusttin,0,0,-1
bl1nd_gh0st,lmnts,yorozuya volk-chan,koschka,1,0,2
fuck this lame ass game,arm & hammer,isaac_gs,peachboss,0,2,0
almond,zeddy,yorozuya volk-chan,koschka,1,0,2
beewesley,r0cket_wizard,fuck this lame ass game,arm & hammer,0,2,0
