p1,p2,finalPlacement
crossieibm2000,129
blandshineasaurusflex,97
dkarnagemetroxe,129
colbydudecatosat,129
snappy samspook,129
zurdojnukes4jesus,129
greysassy,129
pwrup!icebit,65
psychomidgetmchi,17
rainrobbchimpus,129
i-madcrispy,49
bupodozy,97
rkbodlack,65
sandbagel paco,65
chaiursa,65
waspyeezus,65
yondanye,97
kegyptwhimsy,129
wizzrobeprince f. abu,9
cmgtea,129
wonderstaples,129
chiefsmurf,33
trifovertriforce,5
ca$h moreyadpextwindong,129
mikehazetai,13
bladewisesyrox,5
ganobratorsalty seth,33
aurandie,49
balloonnikabod,33
westballzgahtzu,13
sharkfist56zapwad,129
selisearchon,97
leahboos2b,97
tobifoxy grandpa,97
crushdizzkidboogie,9
zennamsang,97
thatssoazenmcpowerj23,97
rockyspark,25
dankhadoken,65
almondzeddy,97
yardsalejv,25
noobkingluigi ka-master,33
mini joelkrizski,33
zazudenpa,129
reevesqualp,49
triple fpiner,97
homemadewafflesfatgoku,9
+ultrakyza,65
hyoyum,97
silent wolflovage805,7
elfmanred lego,49
stankysk,65
koboldhiyro,97
epidemiquelittlespoon,97
joecochr 23,129
snaketri,97
icemansyphichan,65
leoequi,129
nwchrisglobe,97
ajaxec_joey,65
davidcanflylow5,33
tophvish,97
ohaisdking,65
hrmbehaballzzz,129
ketsuarán,65
shadaxissoggy,65
ode$the jazz,129
fuck this lame ass gamearm & hammer,65
flexpilldemon,33
kidlinkox,97
golfrobbo,65
kalamazhus0ft,25
mew2queennmw,33
bl1nd_gh0stlmnts,129
yorozuya volk-chankoschka,49
elliotdispo,129
dangbeefcake,65
the moonprofessor pro,4
clutchcoffeebeansebo,129
bomeogsupersand,129
faddiaddipocket sand,49
polotko,65
khalelego,49
guslex,97
pewpewusfat,1
dsl_pl0xkeithrep,25
wenbobularwinston,25
bunkbangkok dangerous,97
sorryquibb,129
lauermanwillson,129
isaac_gspeachboss,97
punk pandachevy,49
tenrice,33
shiasurpriseleonidas,129
mexican ghostfelix,65
greedpuff mayne,49
boarderrinchilla,129
changoxest,65
shoyochip,17
metricbuttercup,49
hambibrujo,129
nintendudeshunsuke,17
monkeykills27condor,65
jerry jurrchi,97
starkillerzanderwill,65
gooeysoap,97
twinjavi,9
mvbgman,129
kbdr piper,65
wracklethomas the legend,49
zgettoadamayonmike,13
aaron gjball,129
moldparrotiopsis,129
stoprumi,129
giraffescanflykoder,97
derrickdacky,97
jawangawasabi,33
raitoblahcookies,65
hurricaneeight%,97
l33tmadjick,97
burnin tacobeerz4yearz,129
im_jkumasi,65
browser brownjaplorp,129
amsahrudolph,17
raxcity$,65
presezezo,65
webwipemojomonkey,17
stressyield,49
dzsmirked,49
haelsttoka,97
peachicedtdavis,65
brawlwasbetteramber,129
danielsdusttin,129
s2jn0ne,7
shonbor,65
yikesnigel,33
kevelost,65
shepguts,49
digitalbarth,129
iceleffen,2
touristwhitegrizzly,129
alienspruce lee,25
schwaheretic,97
tinojoesway,17
saladfloyd,65
theit,129
dahnadechilly,129
blackoutscarecrow,49
ziggy zanderfaulscruffy mcwonder crumpet,129
joe schmopuc,65
ringringringa*,97
beewesleyr0cket_wizard,33
hungryboxswedish delight,3
spudaisengobay,17
smartfolkmicah,129
greenshitty hungrybox,129
full metal jarodfuncrazyfish,33
jelijmsaxon,129
rustinpookie,25
tlotorch,33
ebayvinodh,33
joseidonmayan ryan,33
burgerdongeof t. samus,65
kackeyegg,129
beanfullprice,97
some mooseham,129
skreww l00segobbleboners,97
nightmaretrulliam,17
hugo popovginjew,49
druggedfoxreno,13
ctfunctionnavi,129
brassmcwaffles,97
bozionzer0cool,129
oreotheprime,25
