T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
zlazher,jekku,jesper,fatnomen,0,2,0
xardov,gblade,akke,humpe,1,0,2
eekim,flippy,moachies,callmesikk,0,0,-1
tonymalone,acid fuccboi,subsuck,tailz,0,2,0
bomb,bez,krkkvpl,picassu,1,0,2
isyan,reverb,sarson,araby soldat,0,2,0
jupiter,pots,gongong,taggo,1,0,2
gamba,glitchy,root3,raptormoses,0,0,-1
spider,poopmaister6000,candy,barrakir,0,2,0
snabbdjur,kneedoking,agud,vikong,0,2,1
spaghett,yalungur,krus,krut,0,2,0
ludvig4,zelpher,elaktomte,mexx,0,2,0
deg,mums,gifflarn,dauvid,0,2,0
7bananananananans,rev,gin,parmsib,1,1,2
peliq,bëst,jag älskar avatar123,igge,0,2,0
sebson,laser thunder,yabasta,annapower89,0,2,0
pipsqueak,dr3am,kavorca,maven,0,2,0
crunch,hungrybox,zlazher,jekku,1,-1,0
akke,humpe,eekim,flippy,0,2,0
helmet,k-12,tonymalone,acid fuccboi,0,2,1
rax,johnnyfight,krkkvpl,picassu,0,2,0
mahie,charlon,isyan,reverb,0,2,0
aniolas,stax,gongong,taggo,0,2,0
mayhem,salevits,gamba,glitchy,0,2,0
liberz,setchi,spider,poopmaister6000,0,2,1
overtriforce,trif,snabbdjur,kneedoking,0,2,0
impx,adamkex,spaghett,yalungur,0,2,1
zorc,pricent,ludvig4,zelpher,0,2,0
kalzu,ajp_anton,deg,mums,0,2,0
peki,daydee,gin,parmsib,0,2,0
maximus,nils,peliq,bëst,0,2,0
rocky,alejandro,sebson,laser thunder,0,2,0
askeflink,fa0,pipsqueak,dr3am,0,2,1
zlazher,jekku,akke,humpe,1,0,3
helmet,k-12,rax,johnnyfight,1,0,3
mahie,charlon,aniolas,stax,1,1,3
mayhem,salevits,liberz,setchi,0,3,0
overtriforce,trif,impx,adamkex,0,3,0
zorc,pricent,kalzu,ajp_anton,0,3,1
peki,daydee,maximus,nils,0,3,0
rocky,alejandro,askeflink,fa0,0,3,0
akke,humpe,rax,johnnyfight,0,3,2
aniolas,stax,mayhem,salevits,1,0,3
overtriforce,trif,zorc,pricent,0,3,1
peki,daydee,rocky,alejandro,1,2,3
akke,humpe,mayhem,salevits,1,1,3
overtriforce,trif,rocky,alejandro,0,3,0
mayhem,salevits,overtriforce,trif,1,0,3
overtriforce,trif,mayhem,salevits,0,3,0
xardov,gblade,moachies,callmesikk,0,0,-1
pipsqueak,dr3am,jesper,fatnomen,0,2,0
sebson,laser thunder,xardov,gblade,0,2,0
peliq,bëst,subsuck,tailz,1,0,2
gin,parmsib,bomb,bez,1,0,2
deg,mums,sarson,araby soldat,0,2,1
ludvig4,zelpher,jupiter,pots,1,0,2
spaghett,yalungur,root3,raptormoses,0,2,0
snabbdjur,kneedoking,candy,barrakir,0,2,0
spider,poopmaister6000,agud,vikong,0,2,0
gamba,glitchy,krus,krut,0,2,0
gongong,taggo,elaktomte,mexx,0,2,0
isyan,reverb,gifflarn,dauvid,0,2,0
krkkvpl,picassu,7bananananananans,rev,0,2,0
tonymalone,acid fuccboi,jag älskar avatar123,igge,0,2,0
eekim,flippy,yabasta,annapower89,0,2,0
crunch,hungrybox,kavorca,maven,1,-1,0
pipsqueak,dr3am,sebson,laser thunder,1,0,2
subsuck,tailz,bomb,bez,1,0,2
deg,mums,jupiter,pots,1,1,2
spaghett,yalungur,snabbdjur,kneedoking,0,2,0
spider,poopmaister6000,gamba,glitchy,0,2,0
gongong,taggo,isyan,reverb,1,0,3
krkkvpl,picassu,tonymalone,acid fuccboi,1,1,2
eekim,flippy,kavorca,maven,0,0,-1
liberz,setchi,sebson,laser thunder,0,3,0
mahie,charlon,bomb,bez,0,3,0
helmet,k-12,jupiter,pots,1,2,3
zlazher,jekku,spaghett,yalungur,1,0,3
askeflink,fa0,spider,poopmaister6000,0,3,0
maximus,nils,isyan,reverb,1,2,3
kalzu,ajp_anton,tonymalone,acid fuccboi,1,2,3
impx,adamkex,eekim,flippy,0,3,0
liberz,setchi,mahie,charlon,1,0,3
jupiter,pots,spaghett,yalungur,0,3,1
askeflink,fa0,isyan,reverb,0,3,0
tonymalone,acid fuccboi,impx,adamkex,0,3,2
zorc,pricent,mahie,charlon,1,0,3
peki,daydee,jupiter,pots,0,3,0
rax,johnnyfight,askeflink,fa0,1,0,3
aniolas,stax,tonymalone,acid fuccboi,0,3,0
mahie,charlon,peki,daydee,1,1,3
askeflink,fa0,aniolas,stax,1,1,3
akke,humpe,peki,daydee,1,2,3
rocky,alejandro,aniolas,stax,0,3,2
peki,daydee,rocky,alejandro,1,1,3
mayhem,salevits,rocky,alejandro,0,3,0
