p1,p2,finalPlacement
overtriforce,trif,1
snabbdjur,kneedoking,25
ludvig4,zelpher,33
7bananananananans,rev,33
rax,johnnyfight,9
mahie,charlon,7
aniolas,stax,5
elaktomte,mexx,33
bomb,bez,17
impx,adamkex,13
candy,barrakir,33
zorc,pricent,9
tonymalone,acid fuccboi,9
deg,mums,25
jupiter,pots,9
jesper,fatnomen,33
kalzu,ajp_anton,17
gamba,glitchy,25
pipsqueak,dr3am,25
zlazher,jekku,17
gifflarn,dauvid,33
sarson,araby soldat,33
sebson,laser thunder,17
gin,parmsib,33
peki,daydee,4
agud,vikong,33
subsuck,tailz,25
isyan,reverb,13
jag älskar avatar123,igge,33
akke,humpe,5
moachies,callmesikk,49
yabasta,annapower89,33
peliq,bëst,33
xardov,gblade,33
eekim,flippy,17
gongong,taggo,25
crunch,hungrybox,33
spaghett,yalungur,13
askeflink,fa0,7
mayhem,salevits,2
helmet,k-12,17
root3,raptormoses,33
krus,krut,33
krkkvpl,picassu,25
maximus,nils,17
liberz,setchi,13
spider,poopmaister6000,17
rocky,alejandro,3
kavorca,maven,25
