p1,p2,finalPlacement
adamayonmike,zgetto,5
vortex,donaxi,49
otak_,solo,49
cyberabbit,gblade,49
dahl,alchemist,49
pad,taiki,33
imperfect,calle w,9
eros,themaik,49
maxsimon123,rich,49
dyne,destruben,33
kage,toa,13
viking,husbrann,33
thomdore,theredsock,25
professor pro,chillindude,4
vj,king funk,17
veps,shank,33
krax,dw,65
deathgazer,explo,17
sigmar,lonbach,49
zodz,ælj,33
zorc,askeflink,13
phade,maskless,13
gustavus adolphus,levingy,25
frikky,issi^,25
gardex,petteh,13
endeby,pilot,33
haettis,henke,65
masamune,kriz,9
mm720,irotikuz,25
sverre,harald,17
jiichan,nurk,65
android,armada,1
viktoralsos,isifys,65
leffen,ice,2
johsyjam,call_of_cow,49
random-ness,zoler,5
pelso,lolex,65
martin,isbjørn,49
wulf,terrorcheese,65
paf,sweattypad,49
knææ,doby,33
gfd,slothic,65
phex,usleon,7
plufball,japf,33
redlime,in progress,65
pews,cap,65
nils,maximus,25
g.i. moe,quarry,33
miller,sengoh,65
spitzy,erki,33
burgerize,snafu,65
dragmire jr,z,49
zaik,yabasta,33
oldiz,length plank,25
eagle,stelzig,17
flamo,drasil,49
voff3,sukou,25
raptormoses,madlobster,65
captainjack,ryuker,25
henrikvenn,ung jedi,33
porksoda,flims,65
p-chips,pricent,17
brtarolg,fuzzyness,9
skam,pappa,49
tailz,gongong,65
batch,skyreon,33
taka,big dick bandit,33
vdogg,flikkflakk,7
niklas2912,emperor,49
bose,zaf,9
shiftingshadows,willz,17
sped,devilgamer,49
tas,ds,49
long daddy green,apeduden,65
vesp,shot,17
nintendork,zarinax,33
schvein,brekke,65
overtriforce,trif,3
birdperson,hawk,33
rax,johnnyfight,17
