T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
mysteryfish,kumi,jib,wassabi,1,0,3
sago,scythe,yankee,zepto,0,3,0
orly,cal,ppsd,peeko,0,3,0
breachin,i4n,urn the cowpoke,jedwreck,0,3,0
royeric,izze,carmine,rumo,1,-1,0
ice,professor pro,jib,wassabi,0,3,0
kirbykaze,kira,drephen,kels,0,0,-1
slox,swedish delight,sago,scythe,0,3,0
dj nintendo,the moon,orly,cal,0,3,2
sfat,kjh,breachin,i4n,0,3,0
s2j,syrox,ginger,beach,0,3,0
macd,druggedfox,carmine,rumo,0,3,0
dizzkidboogie,colbol,rik,reeve,0,3,1
ice,professor pro,kirbykaze,kira,0,3,2
slox,swedish delight,dj nintendo,the moon,1,0,3
sfat,kjh,s2j,syrox,0,3,1
macd,druggedfox,dizzkidboogie,colbol,0,3,0
ice,professor pro,dj nintendo,the moon,0,3,0
sfat,kjh,macd,druggedfox,0,3,1
ice,professor pro,sfat,kjh,0,3,0
ice,professor pro,sfat,kjh,0,3,0
rik,reeve,mysteryfish,kumi,0,3,0
ginger,beach,yankee,zepto,0,3,0
breachin,i4n,ppsd,peeko,0,3,0
orly,cal,urn the cowpoke,jedwreck,0,3,0
drephen,kels,royeric,izze,0,0,-1
rik,reeve,carmine,rumo,0,3,0
ginger,beach,breachin,i4n,0,3,0
orly,cal,sago,scythe,0,3,0
drephen,kels,jib,wassabi,1,-1,0
slox,swedish delight,rik,reeve,0,3,0
kirbykaze,kira,ginger,beach,0,3,2
dizzkidboogie,colbol,orly,cal,0,3,0
s2j,syrox,jib,wassabi,0,3,0
slox,swedish delight,kirbykaze,kira,0,3,0
dizzkidboogie,colbol,s2j,syrox,1,2,3
macd,druggedfox,slox,swedish delight,1,2,3
dj nintendo,the moon,s2j,syrox,0,3,2
slox,swedish delight,dj nintendo,the moon,0,3,2
sfat,kjh,slox,swedish delight,0,3,0
