T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
mr. nima,commanderkool,jake peskin,mchi,0,-2,-2
theprime,apples,conair,no blanket,0,0,-1
lada,x,ajizl,jams,0,-2,-2
sampai,rick rosser,quail,warwick foe,1,-2,-2
armada,mew2king,mr. nima,commanderkool,0,-2,-2
wooptywop,elcancell,theprime,apples,0,-2,-2
char,mundungu,lada,x,0,-2,-2
juggleguy,tm,quail,warwick foe,0,-2,-2
armada,mew2king,wooptywop,elcancell,0,-2,-2
char,mundungu,juggleguy,tm,1,-2,-2
armada,mew2king,juggleguy,tm,0,-2,-2
quail,warwick foe,jake peskin,mchi,0,0,-1
lada,x,conair,no blanket,0,-2,-2
theprime,apples,ajizl,jams,0,-2,-2
mr. nima,commanderkool,sampai,rick rosser,0,-2,-2
quail,warwick foe,lada,x,1,-2,-2
theprime,apples,mr. nima,commanderkool,1,-2,-2
wooptywop,elcancell,lada,x,1,-2,-2
char,mundungu,mr. nima,commanderkool,1,-2,-2
lada,x,mr. nima,commanderkool,1,-2,-2
juggleguy,tm,mr. nima,commanderkool,0,-2,-2
deskpop,chetter,patrick,burnt out ninja,1,0,2
renegade hexer,sapphire,bangboy2000,nerf r nuthin,1,0,2
mooninite,dr. grin,ludwig,javier,0,2,0
huggermugger,matticus,hop,paper tiger,0,2,0
sleepyk,okamibw,patrick,burnt out ninja,0,2,0
drstyles,itsmadness,bangboy2000,nerf r nuthin,0,2,0
sol,phish-it,mooninite,dr. grin,0,2,0
pikminbutdeadly,irish,huggermugger,matticus,0,2,1
sleepyk,okamibw,drstyles,itsmadness,0,2,0
sol,phish-it,pikminbutdeadly,irish,0,2,0
sleepyk,okamibw,sol,phish-it,0,2,1
huggermugger,matticus,deskpop,chetter,0,2,0
mooninite,dr. grin,renegade hexer,sapphire,0,2,0
bangboy2000,nerf r nuthin,ludwig,javier,1,0,2
patrick,burnt out ninja,hop,paper tiger,0,2,0
huggermugger,matticus,mooninite,dr. grin,1,0,2
ludwig,javier,patrick,burnt out ninja,1,1,2
drstyles,itsmadness,mooninite,dr. grin,1,0,2
pikminbutdeadly,irish,patrick,burnt out ninja,0,2,0
mooninite,dr. grin,pikminbutdeadly,irish,0,2,1
sol,phish-it,mooninite,dr. grin,0,-2,-2
jkj,subtle,gerryog,kimmy,0,-2,-2
arm & hammer,dime,birdshit,saydon,0,0,-1
money,yng$falcon,tirno,mikkuz,1,-2,-2
wasabi,jawanga,jr1501,guavajuice,0,-2,-2
toph,silent wolf,jkj,subtle,0,-2,-2
turnip4what?,xhyrri,arm & hammer,dime,0,-2,-2
abate,vudujin,tirno,mikkuz,0,-2,-2
andymosity,strain,wasabi,jawanga,1,-2,-2
toph,silent wolf,turnip4what?,xhyrri,0,-2,-2
abate,vudujin,wasabi,jawanga,0,-2,-2
toph,silent wolf,abate,vudujin,1,-2,-2
andymosity,strain,gerryog,kimmy,0,-2,-2
tirno,mikkuz,birdshit,saydon,0,-2,-2
arm & hammer,dime,money,yng$falcon,0,-2,-2
jkj,subtle,jr1501,guavajuice,0,-2,-2
andymosity,strain,tirno,mikkuz,0,-2,-2
arm & hammer,dime,jkj,subtle,1,-2,-2
turnip4what?,xhyrri,andymosity,strain,1,-2,-2
wasabi,jawanga,jkj,subtle,1,-2,-2
andymosity,strain,jkj,subtle,1,-2,-2
toph,silent wolf,jkj,subtle,0,-2,-2
clubhs,game,cheegor,whiskey milk,0,2,0
nishi,shaw,jeezimsobored,yeroc,1,-1,0
pwrup!,dempsey,littleone,jose ole,0,2,0
wasian,dot,ccdm,starelf,1,0,2
azen zagenite,chillindude,clubhs,game,0,2,0
baise,diplomatictucan,jeezimsobored,yeroc,0,2,0
azusa,khadia,pwrup!,dempsey,0,2,0
sherigami,webwipe,ccdm,starelf,0,2,0
azen zagenite,chillindude,baise,diplomatictucan,0,2,0
