p1,p2,finalPlacement
eddy mexico,bimbo mexico,17
dayge,mogwai,65
iceman,rustin,49
m@chete,snacks,129
kruzz,blueguy,129
blanky,sora,65
the prince,zachy,65
ginger,beach,49
sir skaro,chzy,129
ride,dinkles,257
the___cheese,ky,49
munch,madman,257
smopup,dr. z,49
karma,space,257
sacasumoto,craiger,65
bathtubfrog,boy,257
higglypuff,sailormoon420,257
dcmaster,rift,257
big huge man,amoeba,257
bob$,kelan,97
glenjamin,nsync,193
ludwig,javier,193
littleone,jose ole,129
choochoo,dranyos,385
k27,morgneer,257
milkman,cyrain,17
parkachu0,drowninfish,257
xxbounty,etroknight,193
chevaca,boamba,257
lk,jahanni,65
coolkid,thebigopness,65
woogieboogie,mr.squiggles,193
djltheescapade,hatmadder,385
flytide,obsidian,257
koggy,armor,257
aaa,c0xx,257
trichael man,rockleeland,65
dice,mojo joe,257
oats,thespymachine,257
rofl,j666,49
bravo,hungry pigeon,97
althalous,glaze,193
goomy,double a battery,257
grasshoppa,landry!,129
char,mundungu,129
final,death arcana,129
zaaa,switch,129
phil,homemadewaffles,13
ycz6,343,65
sgt flow,funkdealer,257
crossie,nana saves popo,257
raish,bird jesus,193
pdub,v$,129
sc0pes,firearrow,257
kylebaked,light,193
mental djent,blindluckbert,257
sol,phish-it,33
ridz,tempo,97
azusa,khadia,65
quail,warwick foe,193
griff the jiff,flashburn 117,193
mr. nima,commanderkool,49
yoshi,eastcoastjeff,33
breezy,pog0,129
typicalbad,forte,193
sycko,walrus,257
animal,codi,33
ansuke,samate,257
erik reeds,envelope,97
davidcanfly,burgerdon,193
cheegor,whiskey milk,257
snoosnoo,baby bird,129
coveredinbees,buckle,193
djswerve,bobo,193
red,serenade,193
armada,mew2king,1
abate,vudujin,17
docmo,bacon,65
bird,alien,129
kingofleaves,jzhao098,257
luna,pride,257
jkj,subtle,65
timesink,lint,129
mimorox,zander,257
leahboo,@sdashkon,385
kwang,god!tucksinthesheets,257
jekyll,2 johns,257
the grime reaper,dana,97
hdbryan,hdyambo,65
laham,eliminate,257
watchingtime,thecivilyoshi,193
sleepyk,okamibw,33
