T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
ziren,jon,soft serve,chirka,0,2,0
rabbit,gerb,veranibbles,pure_bazurek,0,2,0
paul the beast,koebeldwill,reubthedoob,caelan,1,0,2
lickoctopus,bozomozo,saggystardust,tyuip,1,0,2
brizzy,bartok,iridium,shchoo,1,-1,0
leffen,hungrybox,ziren,jon,0,2,0
rabbit,gerb,reubthedoob,caelan,0,2,0
fork,trulliam,saggystardust,tyuip,0,2,0
ib,g$,iridium,shchoo,0,2,0
leffen,hungrybox,rabbit,gerb,0,2,0
fork,trulliam,ib,g$,0,2,0
leffen,hungrybox,fork,trulliam,0,2,0
leffen,hungrybox,fork,trulliam,0,-2,-2
veranibbles,pure_bazurek,paul the beast,koebeldwill,0,2,0
iridium,shchoo,soft serve,chirka,1,1,2
saggystardust,tyuip,veranibbles,pure_bazurek,0,2,1
reubthedoob,caelan,lickoctopus,bozomozo,0,2,0
ziren,jon,brizzy,bartok,0,0,-1
soft serve,chirka,saggystardust,tyuip,1,0,2
reubthedoob,caelan,ziren,jon,1,0,2
rabbit,gerb,saggystardust,tyuip,0,2,0
ib,g$,ziren,jon,0,2,0
rabbit,gerb,ib,g$,1,0,2
fork,trulliam,ib,g$,0,2,1
durandal,tobi,amilk,term,1,-1,0
damian tyson,plat,mombacat,dayman,1,-1,0
hayd,joatguy,perhapsman,spaceghost,1,1,2
gnat,leather daddy,krispysmooth,lil brown,1,0,2
rileyreads,m3k,bcrypt,garbage prince,0,0,-1
pewpewu,sfat,amilk,term,0,2,0
mombacat,dayman,perhapsman,spaceghost,0,2,0
alphicans,quaff,krispysmooth,lil brown,0,2,0
windrose,jamrun,rileyreads,m3k,0,2,0
pewpewu,sfat,mombacat,dayman,0,2,0
alphicans,quaff,windrose,jamrun,0,2,0
pewpewu,sfat,alphicans,quaff,0,2,0
pewpewu,sfat,alphicans,quaff,0,-2,-2
damian tyson,plat,hayd,joatguy,1,-1,0
rileyreads,m3k,durandal,tobi,0,0,-1
krispysmooth,lil brown,hayd,joatguy,1,0,2
perhapsman,spaceghost,gnat,leather daddy,1,1,2
amilk,term,bcrypt,garbage prince,0,0,-1
rileyreads,m3k,hayd,joatguy,0,2,1
gnat,leather daddy,amilk,term,0,2,0
mombacat,dayman,rileyreads,m3k,0,2,0
windrose,jamrun,gnat,leather daddy,0,2,0
mombacat,dayman,windrose,jamrun,1,1,2
alphicans,quaff,windrose,jamrun,0,2,0
goldenpants,discowinter,v115,ak,1,1,2
marko64,empire,spoopy,nate$,0,2,0
kid,slippy,dog wearing sunglasses,toodee,1,0,2
mprime,mgeezus,smuv,guccipivotmaster4000,0,2,1
shasha,reker,mado,dio,1,0,2
shroomed,armada,v115,ak,0,2,0
marko64,empire,dog wearing sunglasses,toodee,0,2,1
prince abu,swedish delight,mprime,mgeezus,0,2,0
alpha dash,jam,mado,dio,0,2,0
shroomed,armada,marko64,empire,0,2,0
prince abu,swedish delight,alpha dash,jam,0,2,1
shroomed,armada,prince abu,swedish delight,0,2,0
shroomed,armada,prince abu,swedish delight,0,-2,-2
spoopy,nate$,kid,slippy,1,0,2
