T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
pureskillz,pureevil,dan soup,gg,0,2,0
leck,herrok,geezaku,quodan,0,2,0
edamame,tophatpat,modestmajor,pugmug,0,0,-1
armada,android,dan soup,gg,0,2,0
pureskillz,pureevil,modestmajor,pugmug,0,0,-1
leck,herrok,edamame,tophatpat,0,2,1
armada,android,geezaku,quodan,0,2,0
dan soup,gg,modestmajor,pugmug,0,0,-1
pureskillz,pureevil,leck,herrok,0,2,0
armada,android,modestmajor,pugmug,0,0,-1
geezaku,quodan,edamame,tophatpat,1,0,2
dan soup,gg,leck,herrok,1,0,2
armada,android,edamame,tophatpat,0,2,0
modestmajor,pugmug,leck,herrok,1,-1,0
geezaku,quodan,pureskillz,pureevil,1,0,2
armada,android,leck,herrok,0,2,0
edamame,tophatpat,pureskillz,pureevil,1,0,2
geezaku,quodan,dan soup,gg,0,2,0
armada,android,pureskillz,pureevil,0,2,0
edamame,tophatpat,dan soup,gg,0,2,0
modestmajor,pugmug,geezaku,quodan,1,-1,0
ice,professor pro,lean,thc,0,2,0
razor ramon,angelfail,picky,zee,0,2,0
kasparv,coen,sgtsalty,thebabycheese,0,2,0
suey,ducker,bullet bill,orin,1,-1,0
ice,professor pro,picky,zee,0,2,0
lean,thc,sgtsalty,thebabycheese,1,-1,0
razor ramon,angelfail,bullet bill,orin,0,2,0
kasparv,coen,suey,ducker,0,0,-1
ice,professor pro,sgtsalty,thebabycheese,0,2,0
picky,zee,bullet bill,orin,1,0,2
lean,thc,suey,ducker,0,0,-1
razor ramon,angelfail,kasparv,coen,1,0,2
ice,professor pro,bullet bill,orin,0,2,0
sgtsalty,thebabycheese,suey,ducker,0,0,-1
picky,zee,kasparv,coen,1,0,2
lean,thc,razor ramon,angelfail,1,0,2
ice,professor pro,suey,ducker,0,0,-1
bullet bill,orin,kasparv,coen,1,0,2
sgtsalty,thebabycheese,razor ramon,angelfail,1,0,2
picky,zee,lean,thc,1,1,2
ice,professor pro,kasparv,coen,0,2,0
suey,ducker,razor ramon,angelfail,1,-1,0
bullet bill,orin,lean,thc,0,2,0
sgtsalty,thebabycheese,picky,zee,0,0,-1
ice,professor pro,razor ramon,angelfail,0,2,0
kasparv,coen,lean,thc,0,2,0
suey,ducker,picky,zee,1,-1,0
bullet bill,orin,sgtsalty,thebabycheese,0,2,0
n0ne,the moon,glitchy,gamba,0,2,0
ace,epikfaal,prime,guwop,0,2,0
slime,fa0,kushwaii,knocker,0,2,0
cheakiwara,dunch,laurster,meamking,1,0,2
n0ne,the moon,prime,guwop,0,2,0
glitchy,gamba,kushwaii,knocker,0,2,0
ace,epikfaal,laurster,meamking,0,2,0
slime,fa0,cheakiwara,dunch,0,2,0
n0ne,the moon,kushwaii,knocker,0,2,0
prime,guwop,laurster,meamking,1,0,2
glitchy,gamba,cheakiwara,dunch,1,1,2
ace,epikfaal,slime,fa0,0,2,0
n0ne,the moon,laurster,meamking,0,2,0
kushwaii,knocker,cheakiwara,dunch,0,2,0
prime,guwop,slime,fa0,1,0,2
glitchy,gamba,ace,epikfaal,1,0,2
n0ne,the moon,cheakiwara,dunch,0,2,0
laurster,meamking,slime,fa0,0,2,1
kushwaii,knocker,ace,epikfaal,1,0,2
prime,guwop,glitchy,gamba,1,0,2
n0ne,the moon,slime,fa0,0,2,0
cheakiwara,dunch,ace,epikfaal,1,1,2
laurster,meamking,glitchy,gamba,0,2,0
kushwaii,knocker,prime,guwop,0,2,0
n0ne,the moon,ace,epikfaal,0,2,0
slime,fa0,glitchy,gamba,0,2,1
cheakiwara,dunch,prime,guwop,0,2,1
laurster,meamking,kushwaii,knocker,0,2,0
overtriforce,trif,trail,pixel,0,2,0
pripps,manyula,sappy,free stratos,0,2,0
dragmire jr,calvin,dyne,nintendork,1,0,2
kirbyvert,zephyr,stan sasquatch,manon,0,2,0
overtriforce,trif,sappy,free stratos,0,2,0
trail,pixel,dyne,nintendork,1,0,2
pripps,manyula,stan sasquatch,manon,0,2,0
dragmire jr,calvin,kirbyvert,zephyr,1,0,2
overtriforce,trif,dyne,nintendork,0,2,0
sappy,free stratos,stan sasquatch,manon,1,0,2
trail,pixel,kirbyvert,zephyr,1,0,2
pripps,manyula,dragmire jr,calvin,0,2,0
overtriforce,trif,stan sasquatch,manon,0,2,0
dyne,nintendork,kirbyvert,zephyr,0,2,0
sappy,free stratos,dragmire jr,calvin,1,0,2
trail,pixel,pripps,manyula,1,0,2
overtriforce,trif,kirbyvert,zephyr,0,2,0
stan sasquatch,manon,dragmire jr,calvin,1,0,2
dyne,nintendork,pripps,manyula,1,0,2
sappy,free stratos,trail,pixel,1,0,2
overtriforce,trif,dragmire jr,calvin,0,2,0
kirbyvert,zephyr,pripps,manyula,1,0,2
stan sasquatch,manon,trail,pixel,1,1,2
dyne,nintendork,sappy,free stratos,0,2,0
overtriforce,trif,pripps,manyula,0,2,0
dragmire jr,calvin,trail,pixel,0,2,0
kirbyvert,zephyr,sappy,free stratos,0,2,0
stan sasquatch,manon,dyne,nintendork,0,2,0
tekk,fuzzyness,shiara,captain_hawaiian,0,2,0
sneddy,konati,toa,zeppx,1,1,2
young thug is a legend,toadee,dom dunc,winston churtrill,0,2,1
ac,powe,glaikit,omega,0,2,0
tekk,fuzzyness,toa,zeppx,0,2,0
shiara,captain_hawaiian,dom dunc,winston churtrill,1,1,2
sneddy,konati,glaikit,omega,0,2,0
young thug is a legend,toadee,ac,powe,1,0,2
tekk,fuzzyness,dom dunc,winston churtrill,0,2,0
toa,zeppx,glaikit,omega,0,2,0
shiara,captain_hawaiian,ac,powe,1,0,2
sneddy,konati,young thug is a legend,toadee,0,2,0
tekk,fuzzyness,glaikit,omega,0,2,0
dom dunc,winston churtrill,ac,powe,1,0,2
toa,zeppx,young thug is a legend,toadee,0,2,0
shiara,captain_hawaiian,sneddy,konati,1,0,2
tekk,fuzzyness,ac,powe,0,2,0
glaikit,omega,young thug is a legend,toadee,1,0,2
dom dunc,winston churtrill,sneddy,konati,1,0,2
toa,zeppx,shiara,captain_hawaiian,0,2,0
tekk,fuzzyness,young thug is a legend,toadee,0,2,0
ac,powe,sneddy,konati,1,1,2
glaikit,omega,shiara,captain_hawaiian,0,2,0
dom dunc,winston churtrill,toa,zeppx,1,0,2
tekk,fuzzyness,sneddy,konati,0,2,0
young thug is a legend,toadee,shiara,captain_hawaiian,0,2,0
ac,powe,toa,zeppx,1,1,2
glaikit,omega,dom dunc,winston churtrill,1,1,2
amsah,jeapie,rogue,skrull,0,2,0
supercat meow,kaese,chef,dp,0,2,0
shiftingshadows,galapagos,wingus,sheep,0,2,0
dero,captain love,hoorayforjay,biss,0,2,0
amsah,jeapie,chef,dp,0,2,0
rogue,skrull,wingus,sheep,1,0,2
supercat meow,kaese,hoorayforjay,biss,0,2,1
shiftingshadows,galapagos,dero,captain love,0,2,1
amsah,jeapie,wingus,sheep,0,2,0
chef,dp,hoorayforjay,biss,1,0,2
rogue,skrull,dero,captain love,1,0,2
supercat meow,kaese,shiftingshadows,galapagos,0,2,0
amsah,jeapie,hoorayforjay,biss,0,2,0
wingus,sheep,dero,captain love,0,2,1
chef,dp,shiftingshadows,galapagos,1,0,2
rogue,skrull,supercat meow,kaese,1,0,2
amsah,jeapie,dero,captain love,0,2,0
hoorayforjay,biss,shiftingshadows,galapagos,1,0,2
wingus,sheep,supercat meow,kaese,1,0,2
chef,dp,rogue,skrull,1,0,2
amsah,jeapie,shiftingshadows,galapagos,0,2,0
dero,captain love,supercat meow,kaese,1,0,2
hoorayforjay,biss,rogue,skrull,0,2,0
wingus,sheep,chef,dp,0,2,0
amsah,jeapie,supercat meow,kaese,0,2,0
shiftingshadows,galapagos,rogue,skrull,0,2,0
dero,captain love,chef,dp,1,0,2
hoorayforjay,biss,wingus,sheep,1,0,2
zgetto,adamayonmike,solo,otak_,0,2,0
mint,timemuffinphd,glitch,jexal,0,2,0
relinquished,kadano,kitanamonk,monkeymut,0,2,0
lorenzo,oolongt,schmav,g00fballz,1,1,2
zgetto,adamayonmike,glitch,jexal,0,2,0
solo,otak_,kitanamonk,monkeymut,1,0,2
mint,timemuffinphd,schmav,g00fballz,0,2,0
relinquished,kadano,lorenzo,oolongt,0,2,0
zgetto,adamayonmike,kitanamonk,monkeymut,0,2,0
