p1,p2,finalPlacement
zgetto,adamayonmike,9
zuluking,kid anarkist,106
smo,bloodbowler,64
sgtsalty,thebabycheese,85
ac_anon,socks,85
dom dunc,winston churtrill,106
leaf,midori,64
solo,otak_,127
craft,way,25
wingus,sheep,64
supercat meow,kaese,33
rashattack,adamkex,64
mint,timemuffinphd,7
wolfjudgement,yungbami,127
chef,dp,148
trent,amnesiac,85
tet,reb,148
trail,pixel,127
laurster,meamking,43
zoler,random-ness,7
cheakiwara,dunch,106
brog,kid candi,43
steav,cogfist,106
fisheatcorn,amcd,85
aiken,yiivo,106
mrtom,supervacilon,106
lean,thc,106
lolex,howie,106
kushwaii,knocker,127
alextheant,squeachu,85
moby,10quidshoes,148
rocky,aniolas,25
sappy,free stratos,148
oni,pilot,127
kiw1,timi,13
sneddy,konati,43
stretch armstrong,unhaven,85
brtarolg,luigo,17
momspaghetti,feradit,25
pureskillz,pureevil,13
bqck,pinkman,127
synaspe,soniike,64
stan sasquatch,manon,106
mistrrlove,imperfect,25
jbgood,boggle,148
gaussbet,metafalo,85
armada,android,1
can~d,g,106
prime,guwop,148
frozenlight1337,däumling,17
ranger,cyclops,106
schmav,g00fballz,64
pintsizeraven,bigdsmash,148
lorenzo,oolongt,148
picky,zee,127
klabautermann,naru,43
tekk,fuzzyness,9
kasparv,coen,17
leffen,yabasta,25
jmg,mordo,85
doommasterofdoom,kitten,127
dragmire jr,calvin,85
munx,geobreaker,106
bmgz,jrhmz,127
diabound,metal gear salad,64
relinquished,kadano,43
hen,paul,106
rd,pricent,43
suey,ducker,148
eoe,maxy,148
jam,jeffz0r,43
hoorayforjay,biss,106
baron brody,rechen,43
blazza,ladz,127
captain ireland,zeruko,148
maskless,phade,33
amishcatfish,swan,127
sosuk,monopenisguy,33
x1,jomo,33
layabout,tacks,64
cpt.zeppo,looman,43
michaeldouglas,stels,64
glory,ares,17
alexis,ahmad,85
hy,bjt,127
glaikit,omega,127
tfu,scooty booty man,64
dev,alpha dash,17
amsah,jeapie,5
sgt. snuggles,droblexero,64
king funk,jjlinyard,33
jules,petteh,43
starko,leomeror,148
slhoka,cyr,33
slime,fa0,64
yeniths,haotwo,43
clemens,ramon,13
luk,ezan,43
leck,herrok,43
karhu,bez,127
okameed,soy,33
dero,captain love,85
desucakes,implix,64
phex,pasi,13
shufu,miko$,106
p1n6,noscrubuk,85
vanity angel,r23,9
toa,zeppx,33
banbang,molten,127
shais young,kyran,85
shiftingshadows,galapagos,43
kirbyvert,zephyr,64
shiara,captain_hawaiian,148
kitanamonk,monkeymut,106
kabs,crumpet,148
lactose lad,moone,127
nils,mikehaggarssbm,43
belia,raoul,43
dyne,nintendork,43
bocaj,20fu,148
schlimmshady,jim,25
brado,kone,64
knullebibs,yark,85
glitchy,gamba,85
dan soup,gg,106
calzum,willz,43
ac,powe,64
blaze,yomi,17
overtriforce,trif,3
prinz,kellner,9
jayb,setchi,43
saltsheikah,sonsofsparda,148
ook!,gorbo,106
geezaku,quodan,85
mickey blue,sluggard,127
edamame,tophatpat,64
lord.ape.69,lalzu,127
slagnarok,meth,148
chudat,reaper,4
makenshi,baxon,17
patsheezy,tts,85
lultam,diamond zero,106
bullet bill,orin,64
ryzon,fenrir,85
badnight,exile,148
willy,deathgazer,33
razor ramon,angelfail,43
chelly,annapower89,148
mcbabe,pootrain,127
bapmoney,draz,64
samplay,mahie,17
icysummers,sweaty slowpoke,148
cptnebula,2k12,85
young thug is a legend,toadee,85
jibril cameron tomaz,jah ridin',43
flippy,kune,64
fauster,alox,25
xardov,gblade,106
modestmajor,pugmug,127
rogue,skrull,127
pripps,manyula,33
liberz,lela,64
ace,epikfaal,25
glitch,jexal,85
n0ne,the moon,5
alexander,endofstory,106
ice,professor pro,2
