T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
pax,cloud,dubs,flux,1,-1,0
pax,cloud,cremepuff,condor,1,-1,0
blitzbolt,clouded,pizza,theeagle3805,0,-2,-2
blitzbolt,clouded,obsidian,brr,0,2,1
blitzbolt,clouded,vts,kokingpin,0,-2,-2
lk,jahanni,reesch,greenwalk,1,-2,-2
lk,jahanni,xane,timestop,0,0,-1
lk,jahanni,obsidian,brr,1,-1,0
lk,jahanni,coda,kidwiththeface,0,-2,-2
jeff foxworthy,drewzey,salt,bee,0,-2,-2
jeff foxworthy,drewzey,tal,not thor,0,-2,-2
jeff foxworthy,drewzey,cremepuff,condor,0,-2,-2
pizza,theeagle3805,dyno,pika god,1,-2,-2
purple sku,ford$,watt the flux,edamame,0,0,-1
linus,queuess,purple sku,ford$,1,-2,-2
ewd444,josniff,delfino,disk0,0,-2,-2
ewd444,josniff,batou,krbay,0,-2,-2
ewd444,josniff,gree,bourbonjr,0,-2,-2
hazygoose,schythed,waterlessfishie,thoraxe,1,-2,-2
hazygoose,schythed,errl,dojo,0,2,0
taylorhj,citrus,jeff foxworthy,drewzey,0,-2,-2
taylorhj,citrus,reesch,greenwalk,0,2,0
taylorhj,citrus,jake13,uncle mojo,1,-2,-2
halqery,nyroc,patcombo,wubbs,1,0,2
vitamin,jnasty,obsidian,brr,1,-2,-2
wobbles,tai,phantom,prioritized,1,-1,0
wobbles,tai,corgisploot,blynde,0,-2,-2
wobbles,tai,hamyojo,mouf,1,-1,0
waterlessfishie,thoraxe,blitzbolt,clouded,0,2,1
waterlessfishie,thoraxe,salt,bee,0,-2,-2
waterlessfishie,thoraxe,fatefiend,tapsody,0,-2,-2
errl,dojo,watt the flux,edamame,0,0,-1
errl,dojo,linus,queuess,0,-2,-2
errl,dojo,dr. gg,dayz,0,-2,-2
javi,wizzrobe,hazygoose,schythed,0,2,0
javi,wizzrobe,taylorhj,citrus,0,-2,-2
javi,wizzrobe,didact,sfop,0,2,0
javi,wizzrobe,patcombo,wubbs,0,-2,-2
dubs,flux,ewd444,josniff,1,0,2
dubs,flux,taylorhj,citrus,1,-2,-2
dubs,flux,claus,cuda,0,-2,-2
reesch,greenwalk,linkedlex,xen,0,-2,-2
reesch,greenwalk,purple sku,ford$,0,0,-1
phantom,prioritized,reesch,greenwalk,1,-2,-2
phantom,prioritized,gree,bourbonjr,0,-2,-2
dr. drew the dragon,bluezaft,hazygoose,schythed,1,-2,-2
dr. drew the dragon,bluezaft,didact,sfop,0,2,1
dr. drew the dragon,bluezaft,jedijake,jonjon,0,2,0
dr. drew the dragon,bluezaft,dr. gg,dayz,0,-2,-2
hungrybox,esam,javi,wizzrobe,0,-2,-2
hungrybox,esam,javi,wizzrobe,0,3,1
hungrybox,esam,reesch,greenwalk,0,-2,-2
hungrybox,esam,obsidian,brr,0,-2,-2
hungrybox,esam,mang0,lucky,1,1,3
hungrybox,esam,hamyojo,mouf,0,-2,-2
corgisploot,blynde,salt,bee,1,-2,-2
corgisploot,blynde,tal,not thor,0,-2,-2
nihlus,chandy,salt,bee,1,-2,-2
nihlus,chandy,claus,cuda,0,-2,-2
nihlus,chandy,cremepuff,condor,0,-2,-2
didact,sfop,jeff foxworthy,drewzey,0,-2,-2
didact,sfop,ewd444,josniff,0,2,0
didact,sfop,ankle,imdyslexic,0,2,0
delfino,disk0,phantom,prioritized,1,-2,-2
jf,albert,taylorhj,citrus,1,-2,-2
jf,albert,waterlessfishie,thoraxe,0,2,1
jf,albert,phantom,prioritized,0,-2,-2
jf,albert,dr. drew the dragon,bluezaft,0,-2,-2
jedijake,jonjon,vitamin,jnasty,0,2,0
jedijake,jonjon,dizney,lawngarms,0,2,0
jedijake,jonjon,$pud,pizza,0,-2,-2
batou,krbay,fatefiend,tapsody,1,-2,-2
dizney,lawngarms,coda,kidwiththeface,0,-2,-2
xane,timestop,dizney,lawngarms,1,-1,0
obsidian,brr,$pud,pizza,0,-2,-2
mang0,lucky,blitzbolt,clouded,0,-2,-2
mang0,lucky,purple sku,ford$,0,-2,-2
mang0,lucky,hungrybox,esam,0,3,2
mang0,lucky,hungrybox,esam,1,2,3
mang0,lucky,jf,albert,0,2,0
mang0,lucky,jake13,uncle mojo,0,3,1
fatefiend,tapsody,halqery,nyroc,0,0,-1
fatefiend,tapsody,phantom,prioritized,1,0,2
dr. gg,dayz,p2,phazon,0,0,-1
dr. gg,dayz,dyno,pika god,0,-2,-2
hamyojo,mouf,waterlessfishie,thoraxe,1,-2,-2
hamyojo,mouf,nihlus,chandy,0,-2,-2
hamyojo,mouf,bobby frizz,dyl,0,-2,-2
jake13,uncle mojo,waterlessfishie,thoraxe,0,3,0
jake13,uncle mojo,javi,wizzrobe,1,0,3
jake13,uncle mojo,dizney,lawngarms,0,-2,-2
jake13,uncle mojo,bobby frizz,dyl,0,-2,-2
bobby frizz,dyl,ewd444,josniff,0,2,0
bobby frizz,dyl,errl,dojo,0,-2,-2
bobby frizz,dyl,jedijake,jonjon,0,-2,-2
patcombo,wubbs,batou,krbay,1,-1,0
vts,kokingpin,purple sku,ford$,1,-1,0
vts,kokingpin,p2,phazon,0,0,-1
vts,kokingpin,dyno,pika god,0,-2,-2
coda,kidwiththeface,linkedlex,xen,0,0,-1
ankle,imdyslexic,gree,bourbonjr,1,-1,0
