p1,p2,finalPlacement
paxcloud,33
talnot thor,33
hamyojomouf,7
jeff foxworthydrewzey,17
watt the fluxedamame,33
blitzboltclouded,13
lkjahanni,25
reeschgreenwalk,9
jake13uncle mojo,4
linusqueuess,33
waterlessfishiethoraxe,5
errldojo,17
purple skuford$,17
ewd444josniff,13
hazygooseschythed,9
clauscuda,33
dizneylawngarms,25
ankleimdyslexic,49
didactsfop,13
halqerynyroc,33
linkedlexxen,49
mang0lucky,1
taylorhjcitrus,5
greebourbonjr,33
hungryboxesam,2
p2phazon,33
wobblestai,17
vitaminjnasty,33
jedijakejonjon,17
pizzatheeagle3805,49
cremepuffcondor,25
delfinodisk0,33
xanetimestop,33
dr. ggdayz,25
codakidwiththeface,33
vtskokingpin,25
saltbee,17
jfalbert,7
dr. drew the dragonbluezaft,9
javiwizzrobe,3
patcombowubbs,33
nihluschandy,25
obsidianbrr,17
bobby frizzdyl,9
fatefiendtapsody,25
batoukrbay,25
phantomprioritized,13
dynopika god,33
dubsflux,17
$pudpizza,33
corgisplootblynde,33
