p1,p2,finalPlacement
slypig,billyboy48,49
crush,swiftbass,17
twunt,kobra,97
peanutphobia,emodinosaur,33
curls,voodoo man,65
kjh,duck,17
puddle,arcadia,65
supadice2,ricky,49
hazygoose,toasty,33
adhd,atomsk,33
s2j,mango,65
berry,toss event,49
admiral,rold gold,49
mike melee,repfigit,17
just watch,squab,97
cyrain,milkman,5
amsa,toph,33
lew lew,quest,65
zgetto,amsah,13
geodude,birdup,65
alex19,ruse,25
kaptinkillem,dingus,65
professor peen,beer,49
clorox,buu,65
trouts,rickpicks,65
thewizard,disciple,97
jank,vino,33
trapsloth,silence,33
druggedfox,wizzrobe,9
kush wizard,odin,65
cava,kvn,97
mornag,burritowolf,65
nfreak,korobeniki,65
mew,dairdev1l,65
chillindude,chudat,7
daddy,bluefalcon,65
urbok,seanzy,97
holz!,flimwad,97
lion,armo,97
rik,kira,17
crawfish,ako,65
vench,theperfectname,97
njzfinest,bunnyblast,97
slug,chum,97
snacks!,bmc,33
nostromo,vitaminc,65
slox,swedish delight,4
lkan,shas,97
zanguzen,jflex,13
tian,dr. z,25
easy,etone,65
nutsack,stitchface,33
tesla,doll,33
hyperslurpie,babycakes,65
just jason,minty,33
emt_sol,phish-it,13
rhan,kratos,49
smashg0d,llod,9
organic,tanwad,65
colbol,gahtzu,97
sharkz,gato,33
malkasaur,slacks,65
4%,housewife,49
prince abu,bladewise,9
ruru,blondie,97
blueeco,notechskill,65
ders,coffeemug,49
tipper,nurok,33
pewpewu,sfat,2
velocity,widl,25
dr. lip,ctm,65
bizzie smalls,j$,97
dutch,~20%,49
yoyo,heartstrings,49
bigvegetabluntz,mafia,17
husband,war_and_peach,25
veggietales,fly sloth,65
stormchicken,shuckle,65
vortex,equal,17
westballz,macd,3
crimsonkid,hazystalebread,65
nipples,hop,97
frootloop,laudandus,13
ciz,lawn chair,25
the moon,dj nintendo,7
tauvalian,seabass,49
jozi,nainsoo,33
milo,fang,65
wenbobular,violence,25
phrez,cat_tree,97
life,scale,65
hungrybox,plup,1
volk,koschka,49
prison,zain,25
milk,ship,65
eleven,noodle,65
funk,musicmasterjtw,97
fats,xlax,49
archive,kos,97
dezno,myztek,65
maxi,kirbeeb,97
semi,arc tres,25
federade,faceoats,97
bullshooter,cr,97
green ranger,wawa,17
ctl,bigwenz,33
carrot lord,nik,97
webs,fendricklamar,33
toe,ricky,65
ouicava,ross,65
ultimascout,spoodbeest,33
ryan ford,n0ne,17
jab,cosmic,97
kevocb,eastrock,97
papa john,emilywaves,49
axe,doh,5
bonkcushy,yat,49
homemadewaffles,dizzkidboogie,9
regi,duk,97
trl,mwl,65
kaiser-gl,azen zagenite,97
joehowardjr,b,49
