T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
plup,mew2king,backlash,godiegogo,0,0,-1
moo,pip,ryf1sh,stoc,0,2,0
devil may cry 3,overflow,achaoticnordi,tri-volt,0,2,0
rasen,santa,jazzhands,grape jelly,0,2,1
tranimal,legend,darby,norbu,0,2,0
paprika,yogurt,panda,nards,1,0,2
bonkcushy,torsional strain,sd_justin,swerliie,0,2,0
koga,marche,lucifer,hung,0,2,1
plup,mew2king,moo,pip,0,2,0
devil may cry 3,overflow,rasen,santa,0,2,1
tranimal,legend,panda,nards,0,2,0
bonkcushy,torsional strain,koga,marche,0,2,0
plup,mew2king,devil may cry 3,overflow,0,2,0
tranimal,legend,bonkcushy,torsional strain,1,0,2
plup,mew2king,bonkcushy,torsional strain,0,2,0
plup,mew2king,devil may cry 3,overflow,0,-2,-2
backlash,godiegogo,ryf1sh,stoc,1,-1,0
achaoticnordi,tri-volt,jazzhands,grape jelly,1,0,2
darby,norbu,paprika,yogurt,0,2,0
sd_justin,swerliie,lucifer,hung,1,0,2
koga,marche,ryf1sh,stoc,0,2,0
panda,nards,jazzhands,grape jelly,0,2,0
rasen,santa,darby,norbu,0,2,0
moo,pip,lucifer,hung,1,1,2
koga,marche,panda,nards,0,2,0
rasen,santa,lucifer,hung,0,2,0
devil may cry 3,overflow,koga,marche,0,2,0
tranimal,legend,rasen,santa,0,2,0
devil may cry 3,overflow,tranimal,legend,0,2,1
bonkcushy,torsional strain,devil may cry 3,overflow,1,1,2
macd,shroomed,space ghost,blackjack,0,2,0
arsi,viceroy,flop,bagelz,1,0,2
patrick,seabass,moko,mizuki,0,2,0
blueg,focus,pph,guapo,0,2,0
kyu puff,dudutsai,cubot64,haimatox,0,2,0
tiramisu,clockmire,keg,puzzle,0,2,0
hart,blahyay,edward,earthberg,0,2,0
grim,citius,[n],applefrorm,0,0,-1
macd,shroomed,flop,bagelz,0,2,0
patrick,seabass,blueg,focus,1,0,2
kyu puff,dudutsai,tiramisu,clockmire,0,2,1
hart,blahyay,grim,citius,0,2,0
macd,shroomed,blueg,focus,0,2,0
kyu puff,dudutsai,hart,blahyay,0,2,1
macd,shroomed,kyu puff,dudutsai,0,2,0
macd,shroomed,kyu puff,dudutsai,0,-2,-2
space ghost,blackjack,arsi,viceroy,0,2,0
moko,mizuki,pph,guapo,0,2,0
cubot64,haimatox,keg,puzzle,1,0,2
edward,earthberg,[n],applefrorm,0,0,-1
grim,citius,space ghost,blackjack,1,0,2
tiramisu,clockmire,moko,mizuki,0,2,0
patrick,seabass,keg,puzzle,0,2,1
