T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
sam:),butler,mr good luck,mediocre,0,2,1
animal control,robocop,house rat,tipman,0,0,-1
mew2king,professor pro,sam:),butler,0,2,0
kai,prophet,wreck,baj,1,0,2
colbol,gahtzu,aly,glitched,0,2,0
wizzrobe,kpan,repsguy,sr-cue,0,2,0
sfat,the moon,animal control,robocop,0,2,0
a rookie,dingo,big t,sizzler,0,2,0
esam,hungrybox,pisces,lyme,0,2,0
syrox,mrlz,darkgenex,picofarad,0,2,1
mew2king,professor pro,wreck,baj,0,2,0
colbol,gahtzu,wizzrobe,kpan,0,2,0
sfat,the moon,a rookie,dingo,0,2,0
esam,hungrybox,syrox,mrlz,0,2,0
mew2king,professor pro,colbol,gahtzu,0,2,1
sfat,the moon,esam,hungrybox,0,2,1
mew2king,professor pro,sfat,the moon,1,1,2
sfat,the moon,mew2king,professor pro,0,2,1
darkgenex,picofarad,mr good luck,mediocre,1,0,2
repsguy,sr-cue,house rat,tipman,0,0,-1
mr good luck,mediocre,pisces,lyme,0,0,-1
big t,sizzler,animal control,robocop,1,0,2
repsguy,sr-cue,aly,glitched,1,0,2
kai,prophet,sam:),butler,1,0,2
wizzrobe,kpan,mr good luck,mediocre,0,0,-1
wreck,baj,animal control,robocop,1,0,2
syrox,mrlz,aly,glitched,0,2,0
a rookie,dingo,sam:),butler,0,2,1
wizzrobe,kpan,animal control,robocop,0,2,0
syrox,mrlz,a rookie,dingo,1,1,2
esam,hungrybox,wizzrobe,kpan,1,1,2
colbol,gahtzu,a rookie,dingo,0,2,0
wizzrobe,kpan,colbol,gahtzu,0,2,0
mew2king,professor pro,wizzrobe,kpan,0,2,0
