T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
void,cucco puffs,mattmog,ahampster,1,0,2
intern,danil,starryskye,oathlivion,0,2,0
grab2win,lightning,poskii,mike,1,0,2
bawstin,tangmang,alfster,dinosaur29,0,0,-1
thrash,weeaboo,binary clone,salt,0,2,0
doodler,law,nekonyancer,maspect,0,2,0
cruz,karson,mdeo,pazuzu,0,2,0
amazerommu,kain,phoenix,tablesalt,1,-1,0
wizzrobe,westballz,mattmog,ahampster,0,2,1
sothe,zeal,intern,danil,0,2,0
voorhese,reeve,poskii,mike,0,2,0
desseler,hellsingulh,bawstin,tangmang,0,2,0
kels,davidcue,thrash,weeaboo,0,2,0
quaz,merlin,doodler,law,1,0,2
captain faceroll,kira,cruz,karson,0,2,0
phobos,ripple,phoenix,tablesalt,0,2,0
wizzrobe,westballz,sothe,zeal,0,2,0
voorhese,reeve,desseler,hellsingulh,0,2,0
kels,davidcue,doodler,law,0,2,1
captain faceroll,kira,phobos,ripple,0,2,0
wizzrobe,westballz,voorhese,reeve,0,2,1
kels,davidcue,captain faceroll,kira,0,2,1
wizzrobe,westballz,kels,davidcue,0,2,1
wizzrobe,westballz,captain faceroll,kira,0,-2,-2
phoenix,tablesalt,void,cucco puffs,0,2,1
cruz,karson,starryskye,oathlivion,0,2,0
quaz,merlin,grab2win,lightning,0,2,1
thrash,weeaboo,alfster,dinosaur29,0,0,-1
bawstin,tangmang,binary clone,salt,0,2,0
poskii,mike,nekonyancer,maspect,0,2,0
intern,danil,mdeo,pazuzu,0,2,0
mattmog,ahampster,amazerommu,kain,1,1,2
phoenix,tablesalt,cruz,karson,1,0,2
quaz,merlin,thrash,weeaboo,1,1,2
bawstin,tangmang,poskii,mike,1,0,2
intern,danil,amazerommu,kain,0,2,0
desseler,hellsingulh,cruz,karson,0,2,0
sothe,zeal,thrash,weeaboo,1,1,2
phobos,ripple,poskii,mike,0,2,0
doodler,law,intern,danil,0,2,1
desseler,hellsingulh,thrash,weeaboo,0,2,0
phobos,ripple,doodler,law,0,2,0
captain faceroll,kira,desseler,hellsingulh,0,2,0
voorhese,reeve,phobos,ripple,0,2,1
captain faceroll,kira,voorhese,reeve,0,2,0
kels,davidcue,captain faceroll,kira,1,1,2
narbs,qtip,c mill$,hacky,0,2,1
ibc,doubleshine,lukatic,rawr,0,2,0
oh,dysfunkti0nal,whooie,ppsd,0,2,1
thissidedown,fishaman p,king potato,tapiney,0,2,0
vi,micro,cooran,big papi,1,-1,0
yohobojoe,simple,raidos,prohibition,0,0,-1
blahguy,bandito,mama's little baby,ziggy,0,2,0
justjoe,giogio,mastercat,flarecinder,0,2,0
mew2king,prince abu,narbs,qtip,0,2,0
jacky,nox,ibc,doubleshine,1,0,2
knubs.,azzu,oh,dysfunkti0nal,0,2,0
i4n,nexic,thissidedown,fishaman p,0,2,1
shinobi,darkatma,cooran,big papi,0,2,0
pseudoturtle,lsdx,yohobojoe,simple,0,2,1
drephen,orly,blahguy,bandito,0,2,0
cheato,thegooddoctor,justjoe,giogio,0,2,0
mew2king,prince abu,ibc,doubleshine,0,2,0
knubs.,azzu,i4n,nexic,0,2,1
shinobi,darkatma,pseudoturtle,lsdx,0,2,0
drephen,orly,cheato,thegooddoctor,0,2,0
mew2king,prince abu,knubs.,azzu,0,2,0
shinobi,darkatma,drephen,orly,0,2,1
mew2king,prince abu,shinobi,darkatma,0,2,0
mew2king,prince abu,drephen,orly,0,-2,-2
justjoe,giogio,c mill$,hacky,1,0,2
blahguy,bandito,lukatic,rawr,0,2,0
yohobojoe,simple,whooie,ppsd,0,2,0
cooran,big papi,king potato,tapiney,0,2,0
thissidedown,fishaman p,vi,micro,0,0,-1
oh,dysfunkti0nal,raidos,prohibition,0,0,-1
jacky,nox,mama's little baby,ziggy,0,2,0
narbs,qtip,mastercat,flarecinder,0,2,0
c mill$,hacky,blahguy,bandito,1,0,2
