p1,p2,finalPlacement
cheato,thegooddoctor,17
justjoe,giogio,65
wii-kai,dad,65
captain faceroll,kira,7
bpow,ellis,17
yohobojoe,simple,33
ikey,xurk,65
intern,danil,33
neckpls,a',65
mastercat,flarecinder,65
absentpage,triple r,9
ibc,doubleshine,25
speck,wowzers,65
hungrybox,wobbles,5
mob,2shotko,65
shroomed,s2j,1
cooran,big papi,49
raidos,prohibition,65
smba,flyguy,65
void,cucco puffs,65
carso,blendtec,25
andy,markow,13
doodler,law,25
bitch-sensei,dezno,65
wizzrobe,westballz,2
whooie,ppsd,65
shinobi,darkatma,9
desseler,hellsingulh,17
sothe,zeal,33
mew2king,prince abu,3
photonic,xiivi,25
binary clone,salt,65
pleasantries,herm,17
high-c,dueceswild21,49
thrash,weeaboo,25
narbs,qtip,49
angerjiggz,miles,49
i4n,nexic,17
unoriginal,den,17
voorhese,reeve,13
ark,hi im mikey,65
trixter,schnurb,33
n0ne,swedish delight,5
phobos,ripple,17
elegy,fannypack,49
mdeo,pazuzu,65
zuul,cho,65
spicy,h2o,65
luigigoshard,k-tel,33
mattmog,ahampster,65
pseudoturtle,lsdx,25
njm,visualwatch,33
wolven,ringler,17
rik,lanceinthepants,9
cruz,karson,33
reesch,greenwalk,33
koala,sino,49
darkwolf,boat,49
kels,davidcue,9
ferriswheel,tenrye,49
sago,scythe,13
jacky,nox,33
markdude,jumpman_,65
bizzarro flame,pewpew2,65
yyap,c#,33
jackkenney,rope,33
denec,magellan,33
quaz,merlin,49
vi,micro,65
oh,dysfunkti0nal,33
lukatic,rawr,65
nekonyancer,maspect,65
mama's little baby,ziggy,65
bawstin,tangmang,49
jobes,shucklin,49
grab2win,lightning,65
risu,tara,65
alfster,dinosaur29,65
drephen,orly,7
moros,cronus,33
poskii,mike,33
c mill$,hacky,49
phoenix,tablesalt,49
thissidedown,fishaman p,49
blahguy,bandito,33
mvzy,anaveragekid,25
roland,olives,65
amazerommu,kain,49
yankee,peeko,65
starryskye,oathlivion,65
onehandbackhand,marionette,65
knubs.,azzu,13
sfat,duck,4
king potato,tapiney,65
eggy,pleeba,25
passion,red,49
